,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
44,44,04-08-2020 16:20:46,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0072,6604,2516,220,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
45,45,04-08-2020 16:20:46,Tbilisi,97d5fcd29b,Suboxene 4mg,,2,нет,Тбилиси,4 гр,0.0046,4036,1537,135,55.0,True,,,,,,,,,,,Suboxene 4mg
46,46,04-08-2020 16:20:46,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,8,нет,Тбилиси,5 гр,0.0219,18345,6988,612,250.0,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
47,47,04-08-2020 16:20:46,Tbilisi,c47f675e02,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0395,34489,13137,1150,470.0,,,,,,,,,,,,LSD-25 shishki 10gram
48,48,04-08-2020 16:20:46,Tbilisi,fccfd69694,Мощные Кексы / Marijuana cupcakes (75g),True,1,нет,Тбилиси,75 гр,0.0022,1835,699,61,25.0,,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
49,49,04-08-2020 16:20:46,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4.4 гр,0.042,35223,13416,1175,480.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
50,50,04-08-2020 16:20:46,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0219,18345,6988,612,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,51,04-08-2020 16:20:46,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0236,19813,7547,661,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,52,04-08-2020 16:20:46,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0241,20180,7686,673,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
53,53,04-08-2020 16:20:46,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.021,17611,6708,587,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,54,04-08-2020 16:20:46,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0245,20547,7826,685,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,55,04-08-2020 16:20:46,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0236,19813,7547,661,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,56,04-08-2020 16:20:46,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0174,16070,6121,536,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,57,04-08-2020 16:20:46,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0191,17611,6708,587,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
58,58,04-08-2020 16:20:46,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0236,19813,7547,661,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
59,59,04-08-2020 16:20:46,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.20600000000000002,190000,87429,6269,,,,,,,,,,,,,reagent 25i nbome. 5gr
60,60,04-08-2020 16:20:46,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2386,220142,83850,7343,3000.0,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
61,61,04-08-2020 16:20:46,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0481,40359,15373,1346,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
62,62,04-08-2020 16:20:46,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0612,51366,19565,1713,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,04-08-2020 16:20:46,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0368,30820,11739,1028,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,04-08-2020 16:20:46,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.07,58704,22360,1958,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,04-08-2020 16:20:46,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,3,Тбилиси,10 гр,0.0368,30820,11739,1028,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
66,66,04-08-2020 16:20:46,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1947,163272,62189,5446,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,04-08-2020 16:20:46,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0458,38060,14454,1266,,,,,,,440.0,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
68,68,04-08-2020 16:20:46,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0406,33735,12812,1122,,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
69,69,04-08-2020 16:20:46,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0517,47697,18168,1591,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
70,70,04-08-2020 16:21:38,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.21,176113,67080,5874,2400.0,,,,,,,,,,,,100 gr marijuana buds
71,71,04-08-2020 16:21:38,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0087,7265,2767,242,99.0,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
