,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
45,27-03-2020 09:24:55,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.15 G,True,нет,5,Тбилиси,0.15 гр,0.0214,11808,4290,389,150,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
46,27-03-2020 09:24:55,Tbilisi,XH0NP,XX-PABLO-XX,0.25G - METADON - VHQ,True,19,5,Тбилиси,0.25 гр,0.0285,15744,5720,518,200,,,,,,,,,,0.25G - METADON - VHQ
47,27-03-2020 09:24:55,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.0522,29127,10582,958,370,,,,,,,,,,Methadone HQ in city 0.75g
48,27-03-2020 09:24:55,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.0783,43297,15730,1425,550,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
49,27-03-2020 09:24:55,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,True,нет,2,Тбилиси,1.4 гр,0.0987,55106,20020,1813,700,,,,,,,,,,Methadone HQ in city 1.4g
50,27-03-2020 09:24:55,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0285,15744,5720,518,200,,,,,,,,,,✨✨2gram. MDMA✨✨
51,27-03-2020 09:24:55,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0525,29049,10553,956,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
52,27-03-2020 09:24:55,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.084,46446,16874,1528,590,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
53,27-03-2020 09:24:55,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0564,31489,11440,1036,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,27-03-2020 09:24:55,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
55,27-03-2020 09:24:55,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0775,43297,15730,1425,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
56,27-03-2020 09:24:55,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,27-03-2020 09:24:55,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0281,15666,5691,515,199,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
