,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
78,28-02-2020 16:26:06,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3411,200973,73920,6702,3000,,,,,,True,,,SUBOXIN - HQ - 100 G.
79,28-02-2020 16:26:06,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2842,167477,61600,5585,2500,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
80,28-02-2020 16:26:06,Batumi,O9SXJ,Parnavaz,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0114,6699,2464,223,100,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
81,28-02-2020 16:26:06,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1232,112,50,,,,,,True,,,kur'er v Batumi
82,28-02-2020 16:26:06,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1232,112,50,,,,,,True,,,Vakansija Kur'era v Batumi
83,28-02-2020 16:26:06,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,170,,,,,,,True,,,Vakansija Kur'era v Batumi
84,28-02-2020 16:26:06,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0256,16748,6160,559,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,28-02-2020 16:26:06,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0256,16748,6160,559,250,,,,,,True,,,Ischu kur'era v Gruzii!
86,28-02-2020 16:26:06,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7037,1004864,369600,33510,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
87,28-02-2020 16:26:06,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0563,33495,12320,1117,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,28-02-2020 16:27:40,Kutaisi,O9SXJ,Parnavaz,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0085,4957,1823,165,74,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
89,28-02-2020 16:27:40,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0124,7235,2661,241,108,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
90,28-02-2020 16:27:40,Kutaisi,O9SXJ,Parnavaz,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0115,6699,2464,223,100,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
