,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,€,Vake,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
94,03-02-2020 15:58:52,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0838,51127,20120,1710,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
95,03-02-2020 15:58:52,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.038,25500,10035,853,399,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
96,03-02-2020 15:58:52,Tbilisi,NLKH,STARS,Extazy MORTAL KOMBAT 204 . 280 mg 10 shtuk. SALE SALE SALE ....,True,нет,3,Тбилиси,10 гр,0.0231,14060,5533,470,220,,,,,,,,,,,Extazy MORTAL KOMBAT 204 . 280 mg 10 shtuk. SALE SALE SALE ....
97,03-02-2020 15:58:52,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2331,142198,55959,4757,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
98,03-02-2020 15:58:52,Tbilisi,9VLN,AlienShop,️‍🌈10. LSD 200ug.🌈,True,нет,3,Тбилиси,10 гр,0.0338,20387,8023,682,319,,,,,,,,,,,️‍🌈10. LSD 200ug.🌈
99,03-02-2020 15:58:52,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0855,51639,20321,1728,808,,,,,,,,,,,💘✨10gram MDMA ✨💘
100,03-02-2020 15:58:52,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.3143,210900,82995,7055,3300,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
101,03-02-2020 15:58:52,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0603,38345,15090,1283,600,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
102,03-02-2020 15:58:52,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1143,76691,30180,2566,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
103,03-02-2020 15:58:52,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0905,57518,22635,1924,900,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
