,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0959,57998,21587,1924,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0206,12491,4649,414,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
47,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0546,33016,12289,1095,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
48,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0367,22213,8268,737,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
49,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0201,12153,4523,403,180,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,08-03-2020 15:23:24,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0994,60766,22617,2016,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,08-03-2020 15:23:24,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0773,47262,17591,1568,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,08-03-2020 15:23:24,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0441,26939,10027,894,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,08-03-2020 15:23:24,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0391,23631,8796,784,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
54,08-03-2020 15:23:24,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0884,54014,20104,1792,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,08-03-2020 15:23:24,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2458,150226,55914,4983,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1617,97833,36413,3245,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0412,24914,9273,826,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0334,20188,7514,670,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,08-03-2020 15:23:24,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0668,40443,15053,1342,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,08-03-2020 15:23:24,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0742,47262,17591,1568,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
61,08-03-2020 15:23:24,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1205,81021,30156,2688,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
62,08-03-2020 15:23:24,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1059,67450,25105,2237,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
63,08-03-2020 15:23:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.221,135035,50260,4479,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,08-03-2020 15:23:24,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2232,135035,50260,4479,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
65,08-03-2020 15:23:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2762,168794,62825,5599,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,08-03-2020 15:23:24,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1674,101276,37695,3359,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
67,08-03-2020 15:23:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5083,310581,115598,10302,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,08-03-2020 15:23:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8287,506381,188475,16797,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,08-03-2020 15:23:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9392,573899,213605,19037,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,08-03-2020 15:24:14,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9395,573899,213605,19037,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,08-03-2020 15:24:14,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0201,13504,5026,448,200,,,,,,,,,,,KURYER..500RUB.+BONUS
72,08-03-2020 15:24:14,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0151,10128,3770,336,150,,,,,,,,,,,Rabota na marki (kur'er)
