,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Тбилиси,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
46,02-06-2020 13:50:47,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.04,27885,10760,960,400,,True,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,02-06-2020 13:50:47,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07,48798,18830,1681,700,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,02-06-2020 13:50:47,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.042,29279,11298,1008,420,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,02-06-2020 13:50:47,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.08,55769,21520,1921,800,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
50,02-06-2020 13:50:47,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2225,155108,59853,5342,2225,,True,,,,,,,,Amfetamin [White] [Import] 10G
51,02-06-2020 13:50:47,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,2,Тбилиси,10 гр,0.1575,108680,41937,3743,1559,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,02-06-2020 13:50:47,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0373,25724,9926,886,369,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,02-06-2020 13:50:47,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0317,21959,8474,756,315,,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
54,02-06-2020 13:50:47,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.505,348557,134500,12004,5000,,True,,,,,,,,METADON - 20 G.
55,02-06-2020 13:50:47,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0605,41757,16113,1438,599,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,02-06-2020 13:50:47,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1299,90555,34943,3119,1299,,True,,,,,,,,50 gr georgian weed. Package on magnet
57,02-06-2020 13:50:47,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2499,174209,67223,6000,2499,,True,,,,,,,,100 gr georgian weed. Package on magnet
58,02-06-2020 13:50:47,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.24,167307,64560,5762,2400,,True,,,,,,,,100 gr marijuana buds
59,02-06-2020 13:50:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2,139423,53800,4802,2000,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,02-06-2020 13:50:47,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.25,174279,67250,6002,2500,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,02-06-2020 13:50:47,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.59,411297,158710,14165,5900,,True,,,,,,,,180 gr marihuana persoalno
62,02-06-2020 13:50:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.46,320672,123740,11044,4600,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,02-06-2020 13:50:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.75,522836,201750,18006,7500,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,02-06-2020 13:50:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.85,592547,228650,20407,8500,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
