,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
50,04-08-2020 07:38:46,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0486,40787,15373,1346,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,04-08-2020 07:38:46,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0618,51911,19565,1713,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,04-08-2020 07:38:46,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0371,31147,11739,1028,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,04-08-2020 07:38:46,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0706,59327,22360,1958,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,04-08-2020 07:38:46,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,3,Тбилиси,10 гр,0.0371,31147,11739,1028,420,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
55,04-08-2020 07:38:46,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1965,165003,62189,5446,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
56,04-08-2020 07:38:46,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0461,38379,14432,1266,,,,,,,440,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
57,04-08-2020 07:38:46,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0409,34018,12792,1122,,,,,,,390,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,04-08-2020 07:38:46,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0522,48203,18168,1591,650,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
59,04-08-2020 07:38:46,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2119,177981,67080,5874,2400,,,,,,,,,,,100 gr marijuana buds
60,04-08-2020 07:38:46,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0087,7342,2767,242,99,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
