,time_stamp,region,sell_code,sell_name,description,Saburtalo,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
61,03-06-2020 21:33:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,True,нет,1,Тбилиси,250 гр,0.4732,314370,123740,11031,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,03-06-2020 21:33:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,True,нет,1,Тбилиси,500 гр,0.7715,512560,201750,17986,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,03-06-2020 21:33:30,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,True,нет,3,Тбилиси,10000 гр,0.8743,580901,228650,20384,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,03-06-2020 21:33:30,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,True,2,нет,Тбилиси,1 гр,0.0187,13668,5380,480,200,,,,,,,,,KURYER..500RUB.+BONUS
65,03-06-2020 21:33:30,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,True,нет,2,Тбилиси,1 гр,0.0206,13668,5380,480,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,03-06-2020 21:33:30,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,True,нет,1,Тбилиси,1 гр,0.0257,17085,6725,600,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,03-06-2020 21:33:30,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,True,нет,1,Тбилиси,400 гр,1.5569,1025120,403500,35972,15000,,,,,,,,,Vakansija optovogo kur'era na mef
68,03-06-2020 21:35:14,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,,1,нет,Батуми,0.5 гр,0.0087,5809,2287,204,85,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
69,03-06-2020 21:35:14,Batumi,H9FHF,OldStar,Gagarin fem. 60%sativa 40%indica 1g.,,,3,нет,Батуми,1 гр,0.0051,3417,1345,120,50,,,,,,,True,,Gagarin fem. 60%sativa 40%indica 1g.
70,03-06-2020 21:35:14,Batumi,CL7K,go420times,[100g] SPAIN HASH,,,1,нет,Батуми,105 гр,0.2263,150351,59180,5276,2200,,,,,,,True,,[100g] SPAIN HASH
