,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
41,05-08-2020 15:46:24,Tbilisi,7R3WM,RastaShop,2.0 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,2 гр,0.0086,7265,2762,242,99,True,,,,,,,,,,,2.0 gr. Magic Kush IMPORT (INDICA)
42,05-08-2020 15:46:24,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,2 гр,0.0086,7265,2762,242,99,True,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
43,05-08-2020 15:46:24,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0076,6458,2455,215,88,,,,,,,,,,,,2gr HYBRID buds
44,05-08-2020 15:46:24,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0104,8806,3348,293,120,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
45,05-08-2020 15:46:24,Tbilisi,8B31,GEOWEEDSHOP,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,2 гр,0.0087,7265,2762,242,99,,,,,True,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
46,05-08-2020 15:46:24,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0087,8072,3069,268,110,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
47,05-08-2020 15:46:24,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,4,нет,Тбилиси,2 гр,0.0087,7265,2762,242,99,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
48,05-08-2020 15:46:24,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0087,7265,2762,242,99,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
49,05-08-2020 15:46:24,Tbilisi,ABOAB,ProGrow,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0121,10273,3906,342,140,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
50,05-08-2020 15:46:24,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0071,6604,2511,220,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
51,05-08-2020 15:46:24,Tbilisi,A3I9,Joookerrr,марки н-боом 3 шт.,True,14,46,Тбилиси,3 гр,0.0043,3596,1367,120,49,True,,,,,,,,,,,marki n-boom 3 sht.
52,05-08-2020 15:46:24,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,True,5,нет,Тбилиси,5 гр,0.0217,18345,6975,610,250,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
53,05-08-2020 15:46:24,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,2,нет,Тбилиси,5 гр,0.0189,17611,6696,585,240,,,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
54,05-08-2020 15:46:24,Tbilisi,LD5U,Marshydroo,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0308,27151,10323,903,370,,,,,,,,,,,,LSD-25 shishki 10gram
55,05-08-2020 15:46:24,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (1 грамм)",True,нет,18,Тбилиси,1 гр,0.0043,3669,1395,122,50,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (1 gramm)"
56,05-08-2020 15:46:24,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,8,Тбилиси,3 гр,0.0121,10273,3906,342,140,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
57,05-08-2020 15:46:24,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0217,18345,6975,610,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
58,05-08-2020 15:46:24,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0234,19813,7533,659,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
59,05-08-2020 15:46:24,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0239,20180,7673,671,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
60,05-08-2020 15:46:24,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0208,17611,6696,585,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
