,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
77,06-08-2020 15:30:52,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1863,162513,61989,5422,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
78,06-08-2020 15:30:52,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0391,33781,12874,1124,,,,,,,,390,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
79,06-08-2020 15:30:52,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0495,47476,18109,1584,650,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
80,06-08-2020 15:30:52,Tbilisi,7U9YP,ChitosPizz,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7623,692942,264080,23057,,,,,,,,8000,,,,,Sirets moschnyj Iran 50gr
81,06-08-2020 15:30:52,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.201,175295,66864,5848,2400,,,,,,,,,,,,100 gr marijuana buds
82,06-08-2020 15:30:52,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0083,7231,2758,241,99,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
83,06-08-2020 15:30:52,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2093,182599,69650,6092,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,06-08-2020 15:30:52,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.494,430934,164374,14377,5900,,,,,,,,,,,,180 gr marihuana persoalno
85,06-08-2020 15:30:52,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0206,18000,8283,599,,,,True,,,,,,,,,GABAGAMA 250 shtuk
86,06-08-2020 15:30:52,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0837,73040,27860,2437,1000,,,,True,,,,,True,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
87,06-08-2020 15:30:52,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7117,620837,236810,20713,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
