,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Nadzaladevi,Varketili,Gldani,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
103,103,12-04-2020 23:23:28,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0392,24338,9042,817,330.0,,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
104,104,12-04-2020 23:23:28,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2638,147503,54800,4950,2000.0,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
105,105,12-04-2020 23:23:28,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0119,7375,2740,248,100.0,,,,,,,,,,True,,,kur'er v Batumi
106,106,12-04-2020 23:23:28,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0297,18438,6850,619,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
107,107,12-04-2020 23:23:28,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0297,18438,6850,619,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
108,108,12-04-2020 23:23:28,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9765,1106273,411000,37128,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
109,109,12-04-2020 23:23:28,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0653,36876,13700,1238,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
110,110,12-04-2020 23:25:08,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0187,10694,3973,359,145.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
111,111,12-04-2020 23:25:08,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0472,26919,10001,903,365.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
112,112,12-04-2020 23:25:08,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0355,20282,7535,681,275.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
