,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
70,70,29-05-2020 00:05:52,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,17775,6778,602,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,29-05-2020 00:05:52,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0207,14220,5422,482,200.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
72,72,29-05-2020 00:05:52,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5692,1066518,406650,36135,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,29-05-2020 00:06:54,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0029,1991,759,67,28.0,,,,,,,True,,,,Batumi n-booom 2 shtuki
74,74,29-05-2020 00:06:54,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2281,156423,59642,5300,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
75,75,29-05-2020 00:06:54,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0088,6044,2304,205,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
76,76,29-05-2020 00:06:54,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.042,28796,10980,976,405.0,,,,,,,,True,,,MDMA !! 3 gramma
77,77,29-05-2020 00:06:54,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0427,29863,11386,1012,420.0,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
78,78,29-05-2020 00:06:54,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1648,112990,51992,3834,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
79,79,29-05-2020 00:06:54,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2609,178900,82321,6071,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
80,80,29-05-2020 00:06:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7110,2711,241,100.0,,,,,,,,True,,,kur'er v Batumi
81,81,29-05-2020 00:06:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17775,6778,602,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
82,82,29-05-2020 00:06:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17775,6778,602,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
83,83,29-05-2020 00:06:54,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0285,19565,7475,661,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
84,84,29-05-2020 00:06:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5696,1066518,406650,36135,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
85,85,29-05-2020 00:06:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0518,35551,13555,1205,500.0,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,86,29-05-2020 00:08:18,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0498,34484,13148,1168,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,29-05-2020 00:08:18,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0335,23463,8946,795,330.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
88,88,29-05-2020 00:08:18,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0285,19565,7475,661,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
