,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Old Tbilisi (Старый город),Varketili,Батуми,Центр,Кутаиси,desc_en
40,20-07-2020 03:33:02,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,57371,22120,1920,,True,800,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,20-07-2020 03:33:02,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0442,30120,11613,1008,,True,420,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
42,20-07-2020 03:33:02,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0363,27251,10507,912,,True,380,,,,,,,Northern Lights Regular [budsonly] 10gram
43,20-07-2020 03:33:02,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2339,159563,61521,5339,,True,2225,,,,,,,Amfetamin [White] [Import] 10G
44,20-07-2020 03:33:02,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0532,35940,13838,1202,440,True,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
45,20-07-2020 03:33:02,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0471,31856,12266,1065,390,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
46,20-07-2020 03:33:02,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0621,46614,17973,1560,,True,650,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
47,20-07-2020 03:33:02,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2523,172113,66360,5759,,True,2400,,,,,,,100 gr marijuana buds
48,20-07-2020 03:33:02,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2628,179285,69125,5999,,True,2500,,,,,,,Marihuana [Shishki] [Gali] 100G
49,20-07-2020 03:33:02,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6203,423112,163135,14156,,True,5900,,,,,,,180 gr marihuana persoalno
50,20-07-2020 03:33:02,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8936,609568,235025,20395,,True,8500,,,,,,,10000sht marki 25i-nbome. predoplata
51,20-07-2020 03:33:02,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14343,5530,480,,True,200,,,,,,,KURYER..500RUB.+BONUS
52,20-07-2020 03:33:02,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17928,6913,600,,True,250,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
