,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
45,21-03-2020 17:10:25,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0211,11316,4075,371,,145,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,21-03-2020 17:10:25,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.029,17092,6154,560,,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,21-03-2020 17:10:25,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0441,23413,8430,768,,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
48,21-03-2020 17:10:25,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0218,11707,4215,384,,150,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,21-03-2020 17:10:25,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,2,Тбилиси,5 гр,0.0364,19511,7025,640,,250,,,,,,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
50,21-03-2020 17:10:25,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0264,15609,5620,512,,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
51,21-03-2020 17:10:25,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3219,190000,87429,6224,,,,,,,,,,,,,reagent 25i nbome. 5gr
52,21-03-2020 17:10:25,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3967,234133,84300,7677,,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1262,67040,24138,2198,,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0272,14438,5199,473,,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0718,38164,13741,1251,,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
56,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0483,25677,9245,842,,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
57,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,8,Тбилиси,5 гр,0.0264,14048,5058,461,,180,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,21-03-2020 17:10:25,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1309,70240,25290,2303,,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,21-03-2020 17:10:25,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1018,54631,19670,1791,,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,21-03-2020 17:10:25,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0465,24974,8992,819,,320,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,21-03-2020 17:10:25,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0514,27316,9835,896,,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
62,21-03-2020 17:10:25,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1164,62435,22480,2047,,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,21-03-2020 17:10:25,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3236,173649,62523,5694,,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2129,113086,40717,3708,,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0542,28798,10369,944,,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,21-03-2020 17:10:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0435,23335,8402,765,,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
67,21-03-2020 17:10:57,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0872,46749,16832,1533,,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,21-03-2020 17:10:57,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1572,93653,33720,3071,,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
69,21-03-2020 17:10:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2881,156089,56200,5118,,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,21-03-2020 17:10:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.291,156089,56200,5118,,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
71,21-03-2020 17:10:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3601,195111,70250,6398,,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
72,21-03-2020 17:10:57,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2182,117066,42150,3839,,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
73,21-03-2020 17:10:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6627,359004,129260,11772,,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
74,21-03-2020 17:10:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0804,585332,210750,19193,,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,21-03-2020 17:10:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2245,663377,238850,21752,,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,21-03-2020 17:10:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0262,15609,5620,512,,200,,,,,,,,,,,KURYER..500RUB.+BONUS
77,21-03-2020 17:10:57,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0196,11707,4215,384,,150,,,,,,,,,,,Rabota na marki (kur'er)
78,21-03-2020 17:10:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0288,15609,5620,512,,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,21-03-2020 17:10:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.036,19511,7025,640,,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,21-03-2020 17:10:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1805,1170665,421500,38387,,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
81,21-03-2020 17:12:55,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,8,нет,Батуми,0.5 гр,0.0105,6244,2248,205,,80,,,,,,,,True,,,MEPHEDRONE 0.5 gr
82,21-03-2020 17:12:55,Batumi,V4T,COCAcoLA,COCAINE 1 gr THE BEST COCO IN GEORGIA,,3,нет,Батуми,1 гр,0.0393,23413,8430,768,,300,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
83,21-03-2020 17:12:55,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,22,нет,Батуми,1 гр,0.0249,14828,5339,486,,190,,,,,,,,,True,,NZT-52 limited 1 g muka
84,21-03-2020 17:12:55,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,10,нет,Батуми,2 гр,0.0445,26535,9554,870,,340,,,,,,,,,True,,NZT-52 limited 2g muka
85,21-03-2020 17:12:55,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3169,171697,61820,5630,,2200,,,,,,,,,True,,[100g] SPAIN HASH
86,21-03-2020 17:12:55,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0262,15609,5620,512,,200,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
87,21-03-2020 17:12:55,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.291,156089,56200,5118,,2000,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
88,21-03-2020 17:12:55,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2182,117066,42150,3839,,1500,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,21-03-2020 17:12:55,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0131,7804,2810,256,,100,,,,,,,,,True,,kur'er v Batumi
90,21-03-2020 17:12:55,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0327,19511,7025,640,,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,21-03-2020 17:12:55,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0196,11707,4215,384,,150,,,,,,,,,True,,Rabota na marki (kur'er)
92,21-03-2020 17:12:55,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0327,19511,7025,640,,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
93,21-03-2020 17:12:55,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1805,1170665,421500,38387,,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,21-03-2020 17:12:55,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.072,39022,14050,1280,,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,21-03-2020 17:14:37,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,1 гр,0.0292,15999,5761,525,,205,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
96,21-03-2020 17:14:37,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0255,13970,5030,458,,179,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
97,21-03-2020 17:14:37,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0555,30359,10931,995,,389,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! KUTAISI!!!
98,21-03-2020 17:14:37,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0456,24974,8992,819,,320,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! KUTAISI!!!
99,21-03-2020 17:14:37,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0196,11707,4215,384,,150,,,,,,,,,,True,Rabota na marki (kur'er)
