,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
81,10-04-2020 15:35:38,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0754,1106273,412500,37740,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,10-04-2020 15:37:12,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3016,162253,60500,5535,2200,,,,,,,,True,,,[100g] SPAIN HASH
83,10-04-2020 15:37:12,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,12,Батуми,5 гр,0.0249,14750,5500,503,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
84,10-04-2020 15:37:12,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.277,147503,55000,5032,2000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
85,10-04-2020 15:37:12,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7375,2750,252,100,,,,,,,,True,,,kur'er v Batumi
86,10-04-2020 15:37:12,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0312,18438,6875,629,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,10-04-2020 15:37:12,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,5 гр,0.0031,1844,688,63,25,,,,,,,,True,,,Rabota na marki (kur'er)
88,10-04-2020 15:37:12,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0312,18438,6875,629,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
89,10-04-2020 15:37:12,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0754,1106273,412500,37740,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,10-04-2020 15:37:12,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0686,36876,13750,1258,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,10-04-2020 15:39:05,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1 гр,0.026,14087,5253,481,191,,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,10-04-2020 15:39:05,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0197,10694,3988,365,145,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,10-04-2020 15:39:05,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0497,26919,10038,918,365,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,10-04-2020 15:39:05,Kutaisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,2 гр,0.0184,9956,3713,340,135,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,10-04-2020 15:39:05,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0374,20282,7563,692,275,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
