,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Центр,Батуми,desc_en
75,75,07-08-2020 10:23:56,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0493,47476,18109,1584,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
76,76,07-08-2020 10:23:56,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7601,692942,264080,23124,,,,,,,,,8000.0,,,,Sirets moschnyj Iran 50gr
77,77,07-08-2020 10:23:56,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2003,175295,66864,5850,2400.0,,,,,,,,,,,,100 gr marijuana buds
78,78,07-08-2020 10:23:56,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0083,7231,2758,241,99.0,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
79,79,07-08-2020 10:23:56,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2087,182599,69650,6094,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,07-08-2020 10:23:56,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4924,430934,164374,14382,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
81,81,07-08-2020 10:23:56,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0206,18000,8283,600,,,,True,,,,,,,,,GABAGAMA 250 shtuk
82,82,07-08-2020 10:23:56,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0835,73040,27860,2438,1000.0,,,,True,,,True,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
83,83,07-08-2020 10:23:56,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7094,620837,236810,20720,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,07-08-2020 10:23:56,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0152,14608,5572,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,07-08-2020 10:23:56,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0209,18260,6965,609,250.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
86,86,07-08-2020 10:23:56,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0209,18260,6965,609,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
87,87,07-08-2020 10:23:56,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0455,43824,16716,1463,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
88,88,07-08-2020 10:23:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0167,14608,5572,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
89,89,07-08-2020 10:23:56,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,1 гр,0.0209,18260,6965,609,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
