,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
52,52,15-05-2020 01:32:35,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.0987,25797,2351,70899,,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
53,53,15-05-2020 01:32:35,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0195,5111,466,14047,,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
54,54,15-05-2020 01:32:35,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0503,13154,1199,36152,,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
55,55,15-05-2020 01:32:35,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0194,5084,463,13973,,189.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
56,56,15-05-2020 01:32:35,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0917,24210,2206,66537,,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,57,15-05-2020 01:32:35,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,10760,980,29572,,400.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,15-05-2020 01:32:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0713,18830,1716,51751,,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,15-05-2020 01:32:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0428,11298,1030,31051,,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,15-05-2020 01:32:35,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0102,2690,245,7393,,100.0,,,,,,,,,10G Hybrid Marijuana Leafs
61,61,15-05-2020 01:32:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0815,21520,1961,59144,,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,15-05-2020 01:32:35,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0295,7801,711,21440,,290.0,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
63,63,15-05-2020 01:32:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2266,59853,5454,164494,,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
