,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
67,16-05-2020 08:31:43,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4771,123510,11253,336746,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,16-05-2020 08:31:43,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7778,201375,18347,549042,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,16-05-2020 08:32:41,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8814,228225,20793,622248,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,16-05-2020 08:32:41,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,5370,489,14641,200,,,,,,,,,KURYER..500RUB.+BONUS
71,16-05-2020 08:32:41,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0415,10740,978,29282,400,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
72,16-05-2020 08:32:41,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,5370,489,14641,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,16-05-2020 08:32:41,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,6713,612,18301,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,16-05-2020 08:32:41,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5696,402750,36693,1098084,15000,,,,,,,,,Vakansija optovogo kur'era na mef
75,16-05-2020 08:34:20,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2281,59070,5382,161052,2200,,,,,,True,,,[100g] SPAIN HASH
76,16-05-2020 08:34:20,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1601,51992,3774,112990,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
