,time_stamp,region,sell_code,sell_name,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
104,05-04-2020 09:46:30,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,,нет,3,Батуми,150 гр,0.2141,116599,41475,3858,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
105,05-04-2020 09:46:30,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0128,7773,2765,257,100,,,,,,,,True,,kur'er v Batumi
106,05-04-2020 09:46:30,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0321,19433,6913,643,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
107,05-04-2020 09:46:30,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0321,19433,6913,643,250,,,,,,,,True,,Ischu kur'era v Gruzii!
108,05-04-2020 09:46:30,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,,1,нет,Батуми,50 гр,0.0385,23320,8295,772,300,,,,,,,,True,,Rabota na marki (kur'er)
109,05-04-2020 09:46:30,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,2.139,1165988,414750,38583,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
110,05-04-2020 09:46:30,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0707,38866,13825,1286,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
111,05-04-2020 09:48:08,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,4,нет,Кутаиси,1 гр,0.0267,14847,5281,491,191,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
112,05-04-2020 09:48:08,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,7,нет,Кутаиси,1.5 гр,0.0203,11271,4009,373,145,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
113,05-04-2020 09:48:08,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,10,нет,Кутаиси,2 гр,0.0511,28372,10092,939,365,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
114,05-04-2020 09:48:08,Kutaisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,,1,нет,Кутаиси,2 гр,0.0049,2954,1051,98,38,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
115,05-04-2020 09:48:08,Kutaisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,3,нет,Кутаиси,2 гр,0.0189,10494,3733,347,135,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
116,05-04-2020 09:48:08,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,10,нет,Кутаиси,3 гр,0.0385,21376,7604,707,275,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
