,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
108,108,16-02-2020 12:24:47,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2956,190361,73920,6596,3000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
109,109,16-02-2020 12:24:47,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2463,158634,61600,5497,2500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
110,110,16-02-2020 12:24:47,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0099,6345,2464,220,100.0,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
111,111,16-02-2020 12:24:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3173,1232,110,50.0,,,,,,True,,,kur'er v Batumi
112,112,16-02-2020 12:24:47,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0044,3173,1232,110,50.0,,,,,,True,,,Vakansija Kur'era v Batumi
113,113,16-02-2020 12:24:47,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.006999999999999999,5000,2301,173,,,,,,,True,,,Vakansija Kur'era v Batumi
114,114,16-02-2020 12:24:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0222,15863,6160,550,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
115,115,16-02-2020 12:24:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4766,951804,369600,32979,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
116,116,16-02-2020 12:24:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0488,31727,12320,1099,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
117,117,16-02-2020 12:26:16,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,3,нет,Кутаиси,0.5 гр,0.0022,1396,542,48,22.0,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
118,118,16-02-2020 12:26:16,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.0039,2538,986,88,40.0,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
119,119,16-02-2020 12:26:16,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0079,5076,1971,176,80.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
120,120,16-02-2020 12:26:16,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0109,7043,2735,244,111.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
121,121,16-02-2020 12:26:16,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0099,6345,2464,220,100.0,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
