,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
46,46,26-02-2020 10:01:31,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0322,19476,7371,668,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
47,47,26-02-2020 10:01:31,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,2,нет,Тбилиси,10 гр,0.0245,15581,5897,534,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
48,48,26-02-2020 10:01:31,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0408,25969,9828,891,400.0,,,,,,,,,gashish evro 10g
49,49,26-02-2020 10:01:31,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,12,нет,Тбилиси,10 гр,0.0092,6168,2334,212,95.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
50,50,26-02-2020 10:01:31,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,3,нет,Тбилиси,20 гр,0.0459,29215,11057,1002,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
51,51,26-02-2020 10:01:31,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0792,50444,19091,1730,777.0,,,,,,,,,Gashish Evro 20gr
52,52,26-02-2020 10:01:31,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.17 G,True,2,4,Тбилиси,0.17 гр,0.0161,9738,3686,334,150.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
53,53,26-02-2020 10:01:31,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,1,5,Тбилиси,0.27 гр,0.0244,14737,5577,505,227.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
54,54,26-02-2020 10:01:31,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0322,19476,7371,668,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
55,55,26-02-2020 10:01:31,Tbilisi,2dbb5960b9,Methadone HQ in city 0.7g,True,нет,1,Тбилиси,0.7 гр,0.0298,18178,6880,624,280.0,,,,,,,,,Methadone HQ in city 0.7g
56,56,26-02-2020 10:01:31,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0644,38953,14742,1336,600.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
57,57,26-02-2020 10:01:31,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0177,10842,4103,372,167.0,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
58,58,26-02-2020 10:01:31,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,4,Тбилиси,2 гр,0.0171,11626,4401,399,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
59,59,26-02-2020 10:01:31,Tbilisi,8ddca45a78,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,True,нет,1,Тбилиси,3 гр,0.0106,7141,2703,245,110.0,,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
60,60,26-02-2020 10:01:31,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,5,Тбилиси,3 гр,0.0633,38304,14496,1314,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
61,61,26-02-2020 10:01:31,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,5,Тбилиси,3 гр,0.0183,12270,4644,421,189.0,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
62,62,26-02-2020 10:01:31,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0425,25969,9828,891,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
63,63,26-02-2020 10:01:31,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0584,35707,13514,1225,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
64,64,26-02-2020 10:01:31,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0255,15581,5897,534,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
65,65,26-02-2020 10:01:31,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0266,16230,6143,557,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
66,66,26-02-2020 10:02:49,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0265,16230,6143,557,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
67,67,26-02-2020 10:02:49,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0265,16230,6143,557,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
68,68,26-02-2020 10:02:49,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0211,12919,4889,443,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
