,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Vake,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
62,14-03-2020 13:14:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4493,219565,80670,7021,3000,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
63,14-03-2020 13:14:36,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1429,62869,23099,2010,859,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
64,14-03-2020 13:14:36,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0308,13540,4975,433,185,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
65,14-03-2020 13:14:36,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0814,35789,13149,1144,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
66,14-03-2020 13:14:36,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0547,24079,8847,770,329,,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
67,14-03-2020 13:15:27,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1488,65869,24201,2106,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,14-03-2020 13:15:27,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1157,51232,18823,1638,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
69,14-03-2020 13:15:27,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.066,29202,10729,934,399,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,14-03-2020 13:15:27,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0584,25616,9412,819,350,,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
71,14-03-2020 13:15:27,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1323,58551,21512,1872,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,14-03-2020 13:15:27,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3678,162844,59830,5207,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
