,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
60,10-07-2020 15:51:13,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0213,14246,5440,487,,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,10-07-2020 15:51:13,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0267,17807,6800,608,,250,,,,,,,,,Rabota na marki (kur'er)
62,10-07-2020 15:51:13,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0533,35615,13600,1217,,500,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
63,10-07-2020 15:51:13,Tbilisi,X4ZM,ZYX,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0194,14246,5440,487,,200,,,,,,,,,Rabota kur'erom
64,10-07-2020 15:51:13,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6148,1068447,408000,36498,,15000,,,,,,,,,Vakansija optovogo kur'era na mef
65,10-07-2020 15:51:13,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0533,35615,13600,1217,,500,True,,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
66,10-07-2020 15:53:15,Batumi,5HQU,LIKEaBOSS,Golosa(GHS)+ DOS-vi-DOS 2g,,4,нет,Батуми,2 гр,0.0194,14246,5440,487,,200,,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
67,10-07-2020 15:53:15,Batumi,BN40,Panters,Таблы Punisher 300 mg. 3шт.,,1,нет,Батуми,3 гр,0.0242,17807,6800,608,,250,,,,,,,True,,Tably Punisher 300 mg. 3sht.
68,10-07-2020 15:53:15,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0376,24883,9517,854,310,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
69,10-07-2020 15:53:15,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.0533,35318,13508,1212,440,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
