,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
54,54,19-04-2020 09:14:09,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3672,221832,82200,7335,3000.0,,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,19-04-2020 09:14:09,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1182,64257,23811,2125,869.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,19-04-2020 09:14:09,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0257,13975,5179,462,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
57,57,19-04-2020 09:14:09,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0258,14049,5206,465,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,19-04-2020 09:14:09,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0665,36159,13399,1196,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,19-04-2020 09:14:09,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0257,13975,5179,462,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,60,19-04-2020 09:14:09,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1212,66550,24660,2201,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,61,19-04-2020 09:14:09,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0942,51761,19180,1712,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,19-04-2020 09:14:09,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0431,23662,8768,782,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,19-04-2020 09:14:09,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1077,59155,21920,1956,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,19-04-2020 09:14:09,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2995,164526,60965,5440,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
65,65,19-04-2020 09:14:09,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.19699999999999998,107145,39703,3543,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,66,19-04-2020 09:14:09,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0502,27285,10111,902,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
67,67,19-04-2020 09:14:09,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0407,22109,8193,731,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
68,68,19-04-2020 09:14:56,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0545,29947,11097,990,405.0,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
69,69,19-04-2020 09:14:56,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0814,44293,16413,1465,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,19-04-2020 09:14:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1481,81339,30140,2690,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
71,71,19-04-2020 09:14:56,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3231,177466,65760,5868,2400.0,,,,,,,,,,,100 gr marijuana buds
72,72,19-04-2020 09:14:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2693,147888,54800,4890,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,19-04-2020 09:14:56,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.272,147888,54800,4890,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
74,74,19-04-2020 09:14:56,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3366,184860,68500,6113,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,19-04-2020 09:14:56,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7943,436270,161660,14426,5900.0,,,,,,,,,,,180 gr marihuana persoalno
