,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
68,09-03-2020 21:43:11,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0226,13504,5156,448,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,09-03-2020 21:44:15,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0282,16879,6445,560,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,09-03-2020 21:44:15,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.71,1012763,386700,33594,15000,,,,,,,,,Vakansija optovogo kur'era na mef
71,09-03-2020 21:45:36,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,21,нет,Батуми,1 гр,0.0205,13504,5156,448,200,,,,,,True,,,NZT-52 limited 1 g muka
72,09-03-2020 21:45:36,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0068,4051,1547,134,60,,,,,,True,,,ORANGE PUNCH [1g]
73,09-03-2020 21:45:36,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.037,24306,9281,806,360,,,,,,True,,,NZT-52 limited 2g muka
74,09-03-2020 21:45:36,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 2G,,2,нет,Батуми,2 гр,0.0113,6752,2578,224,100,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
75,09-03-2020 21:45:36,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0282,16879,6445,560,250,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
76,09-03-2020 21:45:36,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1695,101276,38670,3359,1500,,,,,,True,,,Skunk! 50 gr.
77,09-03-2020 21:45:36,Batumi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,5,4,Батуми,0.27 гр,0.0308,18230,6961,605,270,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
78,09-03-2020 21:45:36,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0205,13504,5156,448,200,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
79,09-03-2020 21:45:36,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2282,135035,51560,4479,2000,,,,,,True,,,SUBOXIN - HQ - 100 G.
80,09-03-2020 21:45:36,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1712,101276,38670,3359,1500,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,09-03-2020 21:45:36,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3376,1289,112,50,,,,,,True,,,kur'er v Batumi
82,09-03-2020 21:45:36,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0257,16879,6445,560,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,09-03-2020 21:45:36,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0154,10128,3867,336,150,,,,,,True,,,Rabota na marki (kur'er)
84,09-03-2020 21:45:36,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0257,16879,6445,560,250,,,,,,True,,,Ischu kur'era v Gruzii!
85,09-03-2020 21:45:36,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.71,1012763,386700,33594,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
86,09-03-2020 21:45:36,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0565,33759,12890,1120,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,09-03-2020 21:46:50,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0154,10128,3867,336,150,,,,,,,,True,Rabota na marki (kur'er)
