,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
68,68,27-05-2020 00:17:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9393,604697,230435,20396,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,27-05-2020 00:17:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0201,14228,5422,480,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
70,70,27-05-2020 00:17:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0221,14228,5422,480,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,71,27-05-2020 00:17:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0276,17785,6778,600,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,27-05-2020 00:17:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6727,1067112,406650,35993,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,27-05-2020 00:19:01,Batumi,3c4662c591,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.033,21342,8133,720,300.0,,,,,,,,True,,,,shishki marihuany 5G
74,74,27-05-2020 00:19:01,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2421,156510,59642,5279,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
75,75,27-05-2020 00:19:01,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,2,Батуми,0.5 гр,0.0094,6047,2304,204,85.0,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
76,76,27-05-2020 00:19:01,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0446,28812,10980,972,405.0,,,,,,,,,True,,,MDMA !! 3 gramma
77,77,27-05-2020 00:19:01,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1748,112990,51992,3787,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
