,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
86,15-02-2020 04:00:17,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1721,126907,49280,4397,2000,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
87,15-02-2020 04:00:17,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0757,50763,19712,1759,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
88,15-02-2020 04:00:17,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0343,25318,9831,877,399,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
89,15-02-2020 04:00:17,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2106,141184,54824,4892,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
90,15-02-2020 04:00:17,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0773,51271,19909,1776,808,,,,,,,,,,,💘✨10gram MDMA ✨💘
91,15-02-2020 04:00:17,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0286,18973,7367,657,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
92,15-02-2020 04:00:17,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.043,28554,11088,989,450,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
93,15-02-2020 04:00:17,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.284,209397,81312,7255,3300,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
94,15-02-2020 04:00:17,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0545,38072,14784,1319,600,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
95,15-02-2020 04:00:17,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1033,76144,29568,2638,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
