,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
62,62,09-03-2020 10:15:13,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0695,40443,15053,1342,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,09-03-2020 10:15:13,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0772,47262,17591,1568,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
64,64,09-03-2020 10:15:13,Tbilisi,be97026d1d,MDMA from Europe!!! 30g,True,нет,1,Тбилиси,30 гр,0.2758,162042,60312,5375,2400.0,,,,,,,,,MDMA from Europe!!! 30g
65,65,09-03-2020 10:15:13,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1254,81021,30156,2688,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
66,66,09-03-2020 10:15:13,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1102,67450,25105,2237,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
67,67,09-03-2020 10:15:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 50g,True,нет,1,Тбилиси,50 гр,0.8619,506381,188475,16797,7500.0,,,,,,,,,Columbia Cocaine VHQ 50g
68,68,09-03-2020 10:15:13,Tbilisi,be97026d1d,MDMA from Europe!!! 50g,True,нет,1,Тбилиси,50 гр,0.4597,270070,100520,8958,4000.0,,,,,,,,,MDMA from Europe!!! 50g
69,69,09-03-2020 10:15:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2298,135035,50260,4479,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,70,09-03-2020 10:15:55,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2296,135035,50260,4479,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
71,71,09-03-2020 10:15:55,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2841,168794,62825,5599,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
