,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
41,41,21-04-2020 12:17:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.317,190000,87429,6236,,,,,,,,,,,reagent 25i nbome. 5gr
42,42,21-04-2020 12:17:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3737,223997,82050,7352,3000.0,True,,,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,21-04-2020 12:17:07,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1203,64885,23767,2130,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,21-04-2020 12:17:07,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0262,14112,5169,463,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
45,45,21-04-2020 12:17:07,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0263,14186,5197,466,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,46,21-04-2020 12:17:07,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0677,36512,13374,1198,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
47,47,21-04-2020 12:17:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0262,14112,5169,463,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
48,48,21-04-2020 12:17:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1233,67199,24615,2206,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,49,21-04-2020 12:17:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0959,52266,19145,1715,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,21-04-2020 12:17:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0438,23893,8752,784,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,21-04-2020 12:17:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1096,59733,21880,1960,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,21-04-2020 12:17:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3049,166131,60854,5453,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,21-04-2020 12:17:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2005,108191,39630,3551,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,54,21-04-2020 12:17:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0511,27552,10092,904,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,21-04-2020 12:17:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0414,22325,8178,733,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,56,21-04-2020 12:17:07,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0555,30240,11077,993,405.0,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
57,57,21-04-2020 12:17:07,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0829,44725,16383,1468,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,58,21-04-2020 12:17:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1507,82132,30085,2696,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
59,59,21-04-2020 12:17:07,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3289,179198,65640,5881,2400.0,,,,,,,,,,100 gr marijuana buds
60,60,21-04-2020 12:17:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.27399999999999997,149331,54700,4901,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,61,21-04-2020 12:17:07,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2768,149331,54700,4901,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
62,62,21-04-2020 12:17:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3426,186664,68375,6127,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,21-04-2020 12:17:07,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8084,440528,161365,14459,5900.0,,,,,,,,,,180 gr marihuana persoalno
64,64,21-04-2020 12:17:07,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4316,235197,86153,7719,3150.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
65,65,21-04-2020 12:17:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6303,343462,125810,11273,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,21-04-2020 12:17:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0277,559993,205125,18380,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
