,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
78,16-03-2020 23:13:00,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.427,185316,69375,5851,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
79,16-03-2020 23:13:00,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2588,111189,41625,3510,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
80,16-03-2020 23:13:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7857,340981,127650,10765,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,16-03-2020 23:13:00,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2811,555947,208125,17552,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,16-03-2020 23:13:00,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4519,630073,235875,19892,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,16-03-2020 23:13:00,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0311,14825,5550,468,200,,,,,,,,,,,KURYER..500RUB.+BONUS
84,16-03-2020 23:13:00,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0233,11119,4163,351,150,,,,,,,,,,,Rabota na marki (kur'er)
85,16-03-2020 23:13:00,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0342,14825,5550,468,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,16-03-2020 23:13:00,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0427,18532,6938,585,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
87,16-03-2020 23:13:00,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.5855,1111893,416250,35103,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,16-03-2020 23:14:40,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2586,111189,41625,3510,1500,,,,,,,,True,,,Skunk! 50 gr.
89,16-03-2020 23:14:40,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0313,14825,5550,468,200,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
90,16-03-2020 23:14:40,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3482,148252,55500,4680,2000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
91,16-03-2020 23:14:40,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2612,111189,41625,3510,1500,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
92,16-03-2020 23:14:40,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0157,7413,2775,234,100,,,,,,,,True,,,kur'er v Batumi
93,16-03-2020 23:14:40,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0392,18532,6938,585,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
94,16-03-2020 23:14:40,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0235,11119,4163,351,150,,,,,,,,True,,,Rabota na marki (kur'er)
95,16-03-2020 23:14:40,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0392,18532,6938,585,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
96,16-03-2020 23:14:40,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.6095,1111893,416250,35103,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
97,16-03-2020 23:14:40,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0862,37063,13875,1170,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
98,16-03-2020 23:16:25,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0235,11119,4163,351,150,,,,,,,,,,True,Rabota na marki (kur'er)
