,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
64,64,04-05-2020 03:44:52,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0255,17454,6528,579,240.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
65,65,04-05-2020 03:44:52,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0255,17454,6528,579,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
66,66,04-05-2020 03:44:52,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0255,17454,6528,579,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
67,67,04-05-2020 03:44:52,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0255,17454,6528,579,240.0,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
68,68,04-05-2020 03:44:52,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0245,16727,6256,555,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
69,69,04-05-2020 03:44:52,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0212,15927,5957,529,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
70,70,04-05-2020 03:45:29,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.025,17091,6392,567,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
71,71,04-05-2020 03:45:29,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,2,Тбилиси,5 гр,0.017,11636,4352,386,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
72,72,04-05-2020 03:45:29,Tbilisi,54915c4374,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",True,нет,75,Тбилиси,5 гр,0.0053,3636,1360,121,50.0,,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
73,73,04-05-2020 03:45:29,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2525,190000,87429,6306,,,,,,,,,,,,,reagent 25i nbome. 5gr
74,74,04-05-2020 03:45:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2899,218179,81600,7243,3000.0,,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
75,75,04-05-2020 03:45:29,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.10300000000000001,69745,26085,2315,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
76,76,04-05-2020 03:45:29,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,3,Тбилиси,5 гр,0.0203,13745,5141,456,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
77,77,04-05-2020 03:45:29,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0204,13818,5168,459,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
78,78,04-05-2020 03:45:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0525,35563,13301,1181,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
79,79,04-05-2020 03:45:29,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0203,13745,5141,456,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
80,80,04-05-2020 03:45:29,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,8,Тбилиси,10 гр,0.0117,8000,2992,266,110.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
81,81,04-05-2020 03:45:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0957,65454,24480,2173,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
82,82,04-05-2020 03:45:29,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0425,29091,10880,966,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
83,83,04-05-2020 03:45:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0744,50908,19040,1690,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
84,84,04-05-2020 03:45:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.034,23272,8704,773,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
85,85,04-05-2020 03:45:29,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0106,7273,2720,241,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
86,86,04-05-2020 03:45:29,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.085,58181,21760,1931,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
87,87,04-05-2020 03:45:29,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,2,Тбилиси,10 гр,0.0308,21091,7888,700,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
88,88,04-05-2020 03:45:29,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2365,161816,60520,5372,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
89,89,04-05-2020 03:45:29,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1674,113380,42405,3764,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
90,90,04-05-2020 03:45:29,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0396,26836,10037,891,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
91,91,04-05-2020 03:45:29,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5368,363632,136000,12072,5000.0,,,,,,,,,,,,METADON - 20 G.
92,92,04-05-2020 03:45:29,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0643,43563,16293,1446,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
93,93,04-05-2020 03:45:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1169,79999,29920,2656,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
94,94,04-05-2020 03:45:29,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,1,Тбилиси,50 гр,0.1473,101817,38080,3380,1400.0,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
95,95,04-05-2020 03:45:29,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2551,174543,65280,5794,2400.0,,,,,,,,,,,,100 gr marijuana buds
