,time_stamp,region,sell_code,sell_name,description,Тбилиси,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Батуми,Центр,desc_en
78,20-06-2020 01:39:26,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.8774,591366,228650,20244,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,20-06-2020 01:39:26,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.0188,13915,5380,476,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
80,20-06-2020 01:39:26,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0206,13915,5380,476,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,20-06-2020 01:39:26,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,,нет,3,Тбилиси,1 гр,0.0258,17393,6725,595,250,,,,,,,,,,,,Rabota na marki (kur'er)
82,20-06-2020 01:39:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5625,1043588,403500,35726,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,20-06-2020 01:41:18,Batumi,EIH4,San4oPan4o,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,,11,нет,Батуми,0.25 гр,0.0135,9283,3588,319,,,,,,,,,119,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
84,20-06-2020 01:41:18,Batumi,XH0NP,XX-PABLO-XX,METADON - 025,,,2,3,Батуми,0.25 гр,0.0365,24350,9415,834,350,,,,,,,,,,True,,METADON - 025
85,20-06-2020 01:41:18,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,,нет,2,Батуми,5 гр,0.1551,104359,40350,3573,1500,,,,,,,,,,True,,Gerojn (sirets) 5 gr
86,20-06-2020 01:41:18,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,,нет,3,Батуми,10 гр,0.0434,29220,11298,1000,420,,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
87,20-06-2020 01:41:18,Batumi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,,нет,2,Батуми,10 гр,0.2275,153060,59180,5240,2200,,,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
88,20-06-2020 01:41:18,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1679,112990,51992,3873,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
89,20-06-2020 01:41:18,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2659,178900,82321,6133,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
90,20-06-2020 01:41:18,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0094,6957,2690,238,100,,,,,,,,,,True,,kur'er v Batumi
91,20-06-2020 01:41:18,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0235,17393,6725,595,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,20-06-2020 01:41:18,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0235,17393,6725,595,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
93,20-06-2020 01:41:18,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,,нет,2,Батуми,5 гр,0.0207,13915,5380,476,200,,,,,,,,,,True,,Kur'er Batumi na marihuanu
94,20-06-2020 01:41:18,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5649,1043588,403500,35726,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
95,20-06-2020 01:41:18,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0517,34786,13450,1191,500,,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
