,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
52,52,24-05-2020 22:54:31,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0346,22642,8521,756,315.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
53,53,24-05-2020 22:54:31,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5493,359402,135250,11993,5000.0,,,,,,,,,,,,METADON - 20 G.
54,54,24-05-2020 22:54:31,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0658,43056,16203,1437,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,24-05-2020 22:54:31,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1413,93373,35138,3116,1299.0,,,,,,,,,,,,50 gr georgian weed. Package on magnet
56,56,24-05-2020 22:54:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1196,79068,29755,2638,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,57,24-05-2020 22:54:31,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2718,179629,67598,5994,2499.0,,,,,,,,,,,,100 gr georgian weed. Package on magnet
58,58,24-05-2020 22:54:31,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.261,172513,64920,5757,2400.0,,,,,,,,,,,,100 gr marijuana buds
59,59,24-05-2020 22:54:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2175,143761,54100,4797,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,60,24-05-2020 22:54:31,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2719,179701,67625,5997,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,61,24-05-2020 22:54:31,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6417,424094,159595,14152,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
62,62,24-05-2020 22:54:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5003,330650,124430,11034,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,63,24-05-2020 22:54:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8157,539103,202875,17990,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,64,24-05-2020 22:54:31,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9245,610983,229925,20388,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,65,24-05-2020 22:54:31,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0198,14376,5410,480,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
66,66,24-05-2020 22:54:31,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0218,14376,5410,480,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
