,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Батуми,Центр,desc_en
67,67,05-08-2020 11:10:18,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0514,47697,18168,1586,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
68,68,05-08-2020 11:10:18,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7865,692009,263200,23011,,,,,,,,8000.0,,,,,Sirets moschnyj Iran 50gr
69,69,05-08-2020 11:10:18,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2086,176113,67080,5855,2400.0,,,,,,,,,,,,100 gr marijuana buds
70,70,05-08-2020 11:11:21,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2174,183452,69875,6099,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,05-08-2020 11:11:21,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.513,432946,164905,14392,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
72,72,05-08-2020 11:11:21,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0213,18000,8283,598,,,,,,,,,True,,,,GABAGAMA 250 shtuk
73,73,05-08-2020 11:11:21,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0869,73381,27950,2439,1000.0,,,True,,,True,,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
74,74,05-08-2020 11:11:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7391,623735,237575,20735,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,05-08-2020 11:11:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0158,14676,5590,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,05-08-2020 11:11:21,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0217,18345,6988,610,250.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
77,77,05-08-2020 11:11:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0217,18345,6988,610,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,05-08-2020 11:11:21,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0474,44028,16770,1464,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
79,79,05-08-2020 11:11:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0174,14676,5590,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,80,05-08-2020 11:11:21,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0217,18345,6988,610,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
81,81,05-08-2020 11:11:21,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0435,36690,13975,1220,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
82,82,05-08-2020 11:11:21,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0435,36690,13975,1220,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
83,83,05-08-2020 11:11:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3161,1100709,419250,36591,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,05-08-2020 11:11:21,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0435,36690,13975,1220,500.0,,,True,,True,,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
85,85,05-08-2020 11:13:32,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,3,нет,Батуми,2 гр,0.0029,2422,922,81,33.0,,,,,,,,,,True,,Melkie shishki (Indica) 2g
86,86,05-08-2020 11:13:32,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0348,29352,11180,976,400.0,,,,,,,,,,,True,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
87,87,05-08-2020 11:13:32,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0413,34514,13127,1148,,,,,,,,399.0,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
88,88,05-08-2020 11:13:32,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,3,Батуми,0.3 гр,0.0264,22014,8385,732,300.0,,,,,,,,,,True,,METADON - 0.30 - SALE
89,89,05-08-2020 11:13:32,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0404,33735,12831,1122,,,,,,,,390.0,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,90,05-08-2020 11:13:32,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0079,7338,2795,244,100.0,,,,,,,,,,True,,kur'er v Batumi
91,91,05-08-2020 11:13:32,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0198,18345,6988,610,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,92,05-08-2020 11:13:32,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0198,18345,6988,610,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
93,93,05-08-2020 11:13:32,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0174,14676,5590,488,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
94,94,05-08-2020 11:13:32,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3173,1100709,419250,36591,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
95,95,05-08-2020 11:13:32,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0435,36690,13975,1220,500.0,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
