,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
59,59,15-04-2020 20:36:03,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0948,51600,19250,1717,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,15-04-2020 20:36:03,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0434,23589,8800,785,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,15-04-2020 20:36:03,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1084,58972,22000,1963,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,15-04-2020 20:36:03,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3015,164015,61188,5459,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,15-04-2020 20:36:03,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,3,Тбилиси,10 гр,0.0148,8067,2995,268,,,,,100.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
64,64,15-04-2020 20:36:03,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1983,106812,39848,3555,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,65,15-04-2020 20:36:03,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0505,27201,10148,905,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,66,15-04-2020 20:36:03,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0409,22041,8223,734,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
67,67,15-04-2020 20:36:03,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,2,2,Тбилиси,20 гр,0.0549,29854,11138,994,405.0,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
68,68,15-04-2020 20:36:33,Tbilisi,28bf667d16,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4443,241710,90173,8045,3279.0,,,,,,,,,,,,Cocaine Fishscale 20g
69,69,15-04-2020 20:36:33,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.08199999999999999,44155,16473,1470,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,15-04-2020 20:36:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.149,81086,30250,2699,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
71,71,15-04-2020 20:36:33,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3252,176915,66000,5888,2400.0,,,,,,,,,,,,100 gr marijuana buds
72,72,15-04-2020 20:36:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.271,147429,55000,4907,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,15-04-2020 20:36:33,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2737,147429,55000,4907,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
74,74,15-04-2020 20:36:33,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3387,184286,68750,6134,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,15-04-2020 20:36:33,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7994,434916,162250,14476,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
76,76,15-04-2020 20:36:33,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4268,232201,86625,7729,3150.0,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
77,77,15-04-2020 20:36:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6232,339087,126500,11286,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
78,78,15-04-2020 20:36:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0161,552859,206250,18401,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
79,79,15-04-2020 20:36:33,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1516,626573,233750,20855,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,80,15-04-2020 20:36:33,Tbilisi,83f3d55917,!!!Вызиваем опитного курера в команду !!!.,True,1,нет,Тбилиси,1 гр,0.0123,7000,3221,234,,,,,,,,,,,,,!!!Vyzivaem opitnogo kurera v komandu !!!.
81,81,15-04-2020 20:36:33,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0246,14743,5500,491,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,15-04-2020 20:36:33,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0271,14743,5500,491,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,15-04-2020 20:36:33,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0339,18429,6875,613,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,15-04-2020 20:36:33,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0508,1105718,412500,36803,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,15-04-2020 20:38:14,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2977,162172,60500,5398,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
86,86,15-04-2020 20:38:14,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0406,24326,9075,810,330.0,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
87,87,15-04-2020 20:38:14,Batumi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 25 штук!!!,,нет,2,Батуми,25 гр,0.037000000000000005,20168,7488,671,,,,,250.0,,,,,True,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 25 shtuk!!!
88,88,15-04-2020 20:38:14,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2733,147429,55000,4907,2000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
89,89,15-04-2020 20:38:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7371,2750,245,100.0,,,,,,,,,True,,,kur'er v Batumi
90,90,15-04-2020 20:38:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0308,18429,6875,613,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,15-04-2020 20:38:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0308,18429,6875,613,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,15-04-2020 20:38:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0479,1105718,412500,36803,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,93,15-04-2020 20:38:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0676,36857,13750,1227,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,94,15-04-2020 20:40:17,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0194,10689,3988,356,145.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,95,15-04-2020 20:40:17,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0489,26906,10038,896,365.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,15-04-2020 20:40:17,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0368,20271,7563,675,275.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,15-04-2020 20:40:17,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,нет,10,Кутаиси,10 гр,0.0148,8067,2995,268,,,,,100.0,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
