,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
70,70,11-08-2020 18:39:11,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,32,Тбилиси,2 гр,0.0063,5633,2141,189,77.0,,,,,,,,,,,,,RoSS Uboj 2gr
71,71,11-08-2020 18:39:11,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2471,234087,88960,7834,3200.0,,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,72,11-08-2020 18:40:23,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7233,621794,236300,20810,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,11-08-2020 18:40:23,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0213,18288,6950,612,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,11-08-2020 18:40:23,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0464,43891,16680,1469,600.0,,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
75,75,11-08-2020 18:40:23,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.017,14630,5560,490,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,11-08-2020 18:40:23,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0213,18288,6950,612,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
77,77,11-08-2020 18:40:23,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0426,36576,13900,1224,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
78,78,11-08-2020 18:40:23,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0426,36576,13900,1224,500.0,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
79,79,11-08-2020 18:40:23,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2881,1097283,417000,36723,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,11-08-2020 18:40:23,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0426,36576,13900,1224,500.0,,,,,True,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
81,81,11-08-2020 18:40:23,Tbilisi,fd9704e08b,КУРЬЕР [Любой город!],True,нет,5,Тбилиси,1 гр,0.0601,51207,19460,1714,700.0,,,,,,,,,,,,,KUR'ER [Ljuboj gorod!]
82,82,11-08-2020 18:40:23,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,3,Тбилиси,1 гр,0.0035,3000,1380,100,,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
83,83,11-08-2020 18:40:23,Tbilisi,98f436eeb7,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7315,2780,245,100.0,,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
84,84,11-08-2020 18:42:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,3,нет,Батуми,0.5 гр,0.0035,3007,1145,101,,,,,,,,35.0,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
85,85,11-08-2020 18:42:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0402,34284,13047,1156,,,,,,,,399.0,,,,,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
86,86,11-08-2020 18:42:48,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0393,33511,12753,1130,,,,,,,,390.0,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
87,87,11-08-2020 18:42:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0193,18288,6950,612,250.0,,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
88,88,11-08-2020 18:42:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0193,18288,6950,612,250.0,,,,,,,,,,,,True,Ischu kur'era v Gruzii!
89,89,11-08-2020 18:42:48,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.017,14630,5560,490,200.0,,,,,,,,,,,,True,Kur'er Batumi na marihuanu
90,90,11-08-2020 18:42:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2881,1097283,417000,36723,15000.0,,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
91,91,11-08-2020 18:42:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0426,36576,13900,1224,500.0,,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
