,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
57,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.027,14769,5415,489,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0694,38011,13937,1259,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
59,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,7,Тбилиси,5 гр,0.0268,14691,5387,487,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,30-03-2020 21:05:55,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1264,69959,25650,2318,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,30-03-2020 21:05:55,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0984,54413,19950,1803,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,30-03-2020 21:05:55,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.045,24874,9120,824,320,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,30-03-2020 21:05:55,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1124,62186,22800,2060,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,30-03-2020 21:05:55,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3126,172955,63413,5730,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
65,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2056,112634,41297,3732,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0524,28683,10517,950,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
