,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Varketili,Nadzaladevi,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
44,44,07-06-2020 21:38:33,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0365,24021,9398,833,350.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
45,45,07-06-2020 21:38:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,True,нет,1,Тбилиси,20 гр,0.0527,35002,13694,1214,510.0,,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
46,46,07-06-2020 21:38:33,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5222,343160,134250,11905,5000.0,,,,,,,,,,,METADON - 20 G.
47,47,07-06-2020 21:38:33,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.141,102948,40275,3572,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
48,48,07-06-2020 21:38:33,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0626,41111,16083,1426,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
49,49,07-06-2020 21:38:33,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1343,89153,34878,3093,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
50,50,07-06-2020 21:38:33,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2584,171511,67098,5950,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
51,51,07-06-2020 21:38:33,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2482,164717,64440,5714,2400.0,,,,,,,,,,,100 gr marijuana buds
52,52,07-06-2020 21:38:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2068,137264,53700,4762,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
53,53,07-06-2020 21:38:33,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2585,171580,67125,5953,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
54,54,07-06-2020 21:38:33,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6101,404928,158415,14048,5900.0,,,,,,,,,,,180 gr marihuana persoalno
55,55,07-06-2020 21:38:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4757,315707,123510,10953,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
56,56,07-06-2020 21:38:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7756,514739,201375,17858,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
57,57,07-06-2020 21:38:33,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.879,583371,228225,20239,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
58,58,07-06-2020 21:38:33,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,13726,5370,476,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
59,59,07-06-2020 21:38:33,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,13726,5370,476,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,60,07-06-2020 21:38:33,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5653,1029479,402750,35715,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
61,61,07-06-2020 21:39:22,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0425,28825,11277,1000,420.0,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
62,62,07-06-2020 21:39:22,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5221,343160,134250,11905,5000.0,,,,,,,True,,,,METADON - 20 G.
63,63,07-06-2020 21:39:22,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1703,112990,51992,3920,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
64,64,07-06-2020 21:39:22,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2696,178900,82321,6207,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
65,65,07-06-2020 21:39:22,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6863,2685,238,100.0,,,,,,,True,,,,kur'er v Batumi
66,66,07-06-2020 21:39:22,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17158,6713,595,250.0,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
67,67,07-06-2020 21:39:22,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17158,6713,595,250.0,,,,,,,True,,,,Ischu kur'era v Gruzii!
68,68,07-06-2020 21:39:22,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0207,13726,5370,476,200.0,,,,,,,True,,,,Kur'er Batumi na marihuanu
69,69,07-06-2020 21:39:22,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0294,19491,7600,676,,,,,,,,True,250.0,,,Rabota na marki (kur'er)
70,70,07-06-2020 21:39:22,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5648,1029479,402750,35715,15000.0,,,,,,,True,,,,Vakansija optovogo kur'era na mef
71,71,07-06-2020 21:39:22,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0517,34316,13425,1191,500.0,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
72,72,07-06-2020 21:41:05,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0294,19491,7600,676,,,,,,,,,250.0,,True,Rabota na marki (kur'er)
