,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
48,08-07-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,3,Тбилиси,5 гр,0.0284,19234,7344,660,,True,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,08-07-2020 14:24:57,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6438,,True,,,,,,,,,,reagent 25i nbome. 5gr
50,08-07-2020 14:24:57,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2866,213714,81600,7332,,,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,08-07-2020 14:24:57,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0946,64114,24480,2200,,True,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,08-07-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.0578,39181,14960,1344,,True,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,08-07-2020 14:24:57,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,2,Тбилиси,10 гр,0.0736,49867,19040,1711,,True,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,08-07-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0441,29920,11424,1026,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,08-07-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,3,Тбилиси,10 гр,0.0841,56990,21760,1955,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,08-07-2020 14:24:57,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2338,158504,60520,5438,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
57,08-07-2020 14:24:57,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,1,Тбилиси,11 гр,0.0467,31358,11934,1075,390,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
58,08-07-2020 14:24:57,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,,нет,1,Тбилиси,15 гр,0.0621,46305,17680,1589,,True,650,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
59,08-07-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2522,170971,65280,5866,,True,2400,,,,,,,,,100 gr marijuana buds
60,08-07-2020 14:24:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2627,178095,68000,6110,,True,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,08-07-2020 14:24:57,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.62,420304,160480,14420,,True,5900,,,,,,,,,180 gr marihuana persoalno
62,08-07-2020 14:24:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.8932,605522,231200,20774,,True,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,08-07-2020 14:24:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0191,14248,5440,489,,True,200,,,,,,,,,KURYER..500RUB.+BONUS
64,08-07-2020 14:24:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,1,нет,Тбилиси,1 гр,0.0263,17809,6800,611,,True,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,08-07-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,1,Тбилиси,1 гр,0.021,14248,5440,489,,True,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,08-07-2020 14:24:57,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,,нет,3,Тбилиси,1 гр,0.0263,17809,6800,611,,True,250,,,,,,,,,Rabota na marki (kur'er)
67,08-07-2020 14:24:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.5905,1068569,408000,36660,,True,15000,,,,,,,,,Vakansija optovogo kur'era na mef
68,08-07-2020 14:24:57,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,3,Тбилиси,1000 гр,0.0525,35619,13600,1222,,,500,,True,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
69,08-07-2020 14:26:59,Batumi,5HQU,LIKEaBOSS,Golosa(GHS)+ DOS-vi-DOS 2g,,,7,нет,Батуми,2 гр,0.0191,14248,5440,489,,,200,,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
70,08-07-2020 14:26:59,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,5,Батуми,11 гр,0.0466,31358,11934,1075,390,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
71,08-07-2020 14:26:59,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,,нет,4,Батуми,11 гр,0.0502,33771,12852,1158,420,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
72,08-07-2020 14:26:59,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1665,112990,51992,3828,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
73,08-07-2020 14:26:59,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2636,178900,82321,6061,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
74,08-07-2020 14:26:59,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0095,7124,2720,244,,,100,,,,,,,True,,kur'er v Batumi
75,08-07-2020 14:26:59,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0239,17809,6800,611,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
76,08-07-2020 14:26:59,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0239,17809,6800,611,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
77,08-07-2020 14:26:59,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,,нет,1,Батуми,1 гр,0.021,14248,5440,489,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
78,08-07-2020 14:26:59,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5887,1068569,408000,36660,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
79,08-07-2020 14:26:59,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0525,35619,13600,1222,,,500,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
