,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Центр,Батуми,desc_en
71,71,31-07-2020 20:02:22,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0159,14685,5572,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,31-07-2020 20:02:22,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0219,18357,6965,610,250.0,,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
73,73,31-07-2020 20:02:22,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0219,18357,6965,610,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,31-07-2020 20:02:22,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0477,44056,16716,1463,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
75,75,31-07-2020 20:02:22,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0175,14685,5572,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,31-07-2020 20:02:22,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0219,18357,6965,610,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
77,77,31-07-2020 20:02:22,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0437,36713,13930,1219,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
78,78,31-07-2020 20:02:22,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0437,36713,13930,1219,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
79,79,31-07-2020 20:02:22,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3229,1101392,417900,36579,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,31-07-2020 20:02:22,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0437,36713,13930,1219,500.0,,,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
81,81,31-07-2020 20:04:57,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,5,нет,Батуми,0.2 гр,0.0124,10387,3928,341,,,,,,119.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
82,82,31-07-2020 20:04:57,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0093,7769,2938,255,,,,,,89.0,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
83,83,31-07-2020 20:04:57,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,9,нет,Батуми,0.4 гр,0.0239,19989,7559,656,,,,,,229.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
84,84,31-07-2020 20:04:57,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,12,нет,Батуми,0.5 гр,0.0037,3055,1155,100,,,,,,35.0,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
85,85,31-07-2020 20:04:57,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,8,нет,Батуми,2 гр,0.0029,2423,919,80,33.0,,,,,,,,,,,True,Melkie shishki (Indica) 2g
86,86,31-07-2020 20:04:57,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0392,33042,12537,1097,450.0,,,,,,,,,,True,,Super Critical 10G
87,87,31-07-2020 20:04:57,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.046,38407,14524,1261,,,,,,440.0,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
88,88,31-07-2020 20:04:57,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0264,22028,8358,732,300.0,,,,,,,,,,,True,METADON - 0.30 - SALE
89,89,31-07-2020 20:04:57,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0324,27060,10233,888,,,,,,310.0,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
90,90,31-07-2020 20:04:57,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0407,34043,12874,1118,,,,,,390.0,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
91,91,31-07-2020 20:04:57,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0417,34828,13171,1144,,,,,,399.0,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
92,92,31-07-2020 20:04:57,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0079,7343,2786,244,100.0,,,,,,,,,,,True,kur'er v Batumi
93,93,31-07-2020 20:04:57,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0198,18357,6965,610,250.0,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
94,94,31-07-2020 20:04:57,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0198,18357,6965,610,250.0,,,,,,,,,,,True,Ischu kur'era v Gruzii!
95,95,31-07-2020 20:04:57,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0174,14685,5572,488,200.0,,,,,,,,,,,True,Kur'er Batumi na marihuanu
96,96,31-07-2020 20:04:57,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3181,1101392,417900,36579,15000.0,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
