,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
69,09-02-2020 17:16:48,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0349,25325,9855,868,399,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
70,09-02-2020 17:16:48,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2141,141225,54958,4842,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,09-02-2020 17:16:48,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0785,51285,19958,1758,808,,,,,,,,,,,💘✨10gram MDMA ✨💘
72,09-02-2020 17:16:48,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0291,18978,7385,651,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
73,09-02-2020 17:16:48,Tbilisi,V8EPD,GREENWEED,SALE 50%. Шишки 11гр (лсд феминиз),True,1,3,Тбилиси,11 гр,0.0144,9521,3705,326,150,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
74,09-02-2020 17:16:48,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0437,28562,11115,979,450,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
75,09-02-2020 17:16:48,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2886,209458,81510,7181,3300,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
76,09-02-2020 17:16:48,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0554,38083,14820,1306,600,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
77,09-02-2020 17:16:48,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.105,76166,29640,2611,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
78,09-02-2020 17:16:48,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0831,57125,22230,1959,900,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
