,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
53,53,17-02-2020 16:51:54,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0107,6647,2580,231,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
54,54,17-02-2020 16:51:54,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0283,19626,7617,682,310.0,,,,,,,,,NZT-52 mind storm limited 3g muka
55,55,17-02-2020 16:51:54,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0161,10066,3907,350,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
56,56,17-02-2020 16:51:54,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0157,9813,3808,341,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
57,57,17-02-2020 16:51:54,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0178,11079,4300,385,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
58,58,17-02-2020 16:51:54,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,5,нет,Тбилиси,5 гр,0.0149,9496,3686,330,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
59,59,17-02-2020 16:51:54,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0155,10762,4177,374,170.0,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
60,60,17-02-2020 16:51:54,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0161,10066,3907,350,159.0,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
61,61,17-02-2020 16:51:54,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0202,13295,5160,462,210.0,,,,,,,,,gashish evro 5g
62,62,17-02-2020 16:51:54,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0386,25323,9828,879,400.0,,,,,,,,,gashish evro 10g
63,63,17-02-2020 16:51:54,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,15,нет,Тбилиси,10 гр,0.0087,6014,2334,209,95.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
64,64,17-02-2020 16:51:54,Tbilisi,84c8f0bee0,шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.01,6331,2457,220,100.0,,,,,,,,,shishki 11gr. (narkush feminiz)
65,65,17-02-2020 16:51:54,Tbilisi,436325081c,weed leaves 13gr +,True,1,нет,Тбилиси,13 гр,0.0053,3672,1425,128,58.0,,,,,,,,,weed leaves 13gr +
66,66,17-02-2020 16:51:54,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0153,10573,4103,367,167.0,,,,,,,,,georgian weed 15 gr salee !!!
67,67,17-02-2020 16:52:42,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0152,10573,4103,367,167.0,,,,,,,,,georgian weed 15 gr salee !!!
68,68,17-02-2020 16:52:42,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0748,49191,19091,1708,777.0,,,,,,,,,Gashish Evro 20gr
69,69,17-02-2020 16:52:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.023,14371,5577,499,227.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
70,70,17-02-2020 16:52:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0303,18929,7346,657,299.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
71,71,17-02-2020 16:52:42,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,нет,2,Тбилиси,0.5 гр,0.0045,2849,1106,99,45.0,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
72,72,17-02-2020 16:52:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0608,37985,14742,1319,600.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
73,73,17-02-2020 16:52:42,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0401,25323,9828,879,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
74,74,17-02-2020 16:52:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0241,15194,5897,528,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
75,75,17-02-2020 16:52:42,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0251,15827,6143,550,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
76,76,17-02-2020 16:52:42,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1369,94963,36855,3298,1500.0,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
77,77,17-02-2020 16:52:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0251,15827,6143,550,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
78,78,17-02-2020 16:52:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0251,15827,6143,550,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
79,79,17-02-2020 16:52:42,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.02,12598,4889,438,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
