,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
75,11-08-2020 09:11:26,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2035,177060,66720,5876,2400,,,,,,,,,,,,100 gr marijuana buds
76,11-08-2020 09:11:26,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.212,184438,69500,6121,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,11-08-2020 09:11:26,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5002,435273,164020,14444,5900,,,,,,,,,,,,180 gr marihuana persoalno
78,11-08-2020 09:11:26,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0241,21000,9663,698,,,,,,,,True,,,,,GABAGAMA 250 shtuk
79,11-08-2020 09:11:26,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7206,627088,236300,20810,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,11-08-2020 09:11:26,Tbilisi,XUYA,MRweed,Курьер Тбилиси. позиция для конкретного человека.,True,1,нет,Тбилиси,1 гр,0.0077,7378,2780,245,100,,,,,,,,,,,,Kur'er Tbilisi. pozitsija dlja konkretnogo cheloveka.
81,11-08-2020 09:11:26,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0212,18444,6950,612,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,11-08-2020 09:11:26,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0462,44265,16680,1469,600,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
83,11-08-2020 09:11:26,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.017,14755,5560,490,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,11-08-2020 09:11:26,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0212,18444,6950,612,250,,,,,,,,,,,,Rabota na marki (kur'er)
85,11-08-2020 09:11:26,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0424,36888,13900,1224,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
86,11-08-2020 09:11:26,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0424,36888,13900,1224,500,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
87,11-08-2020 09:11:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2833,1106625,417000,36723,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,11-08-2020 09:11:26,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0424,36888,13900,1224,500,,,,True,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
89,11-08-2020 09:11:26,Tbilisi,MAGIC,MAGtravki,КУРЬЕР [Любой город!],True,нет,5,Тбилиси,1 гр,0.0599,51643,19460,1714,700,,,,,,,,,,,,KUR'ER [Ljuboj gorod!]
90,11-08-2020 09:11:26,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,3,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
91,11-08-2020 09:11:26,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7378,2780,245,100,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
92,11-08-2020 09:13:19,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,6,нет,Батуми,0.5 гр,0.0035,3039,1145,101,,,,,,,35,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
93,11-08-2020 09:13:19,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,1,нет,Батуми,2 гр,0.0028,2435,917,81,33,,,,,,,,,,,True,Melkie shishki (Indica) 2g
94,11-08-2020 09:13:19,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0382,33199,12510,1102,450,,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
