,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Центр,Батуми,€,desc_en
42,16-08-2020 07:45:55,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 2 гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110,,True,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
43,16-08-2020 07:45:55,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110,,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
44,16-08-2020 07:45:55,Tbilisi,9R7SU,ClownBaroN,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0126,10982,4140,368,150,True,,,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
45,16-08-2020 07:45:55,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6589,2484,221,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
46,16-08-2020 07:45:55,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0202,17572,6624,590,240,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
47,16-08-2020 07:45:55,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.021,18304,6900,614,250,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
48,16-08-2020 07:45:55,Tbilisi,TDSHF,THC,Weed from Gali 5g.,True,1,нет,Тбилиси,5 гр,0.0186,16840,6348,565,230,,,,,,,,,,,,Weed from Gali 5g.
49,16-08-2020 07:45:55,Tbilisi,6P9R,RickNMorty,Subotex From France B8 VHQ 1pc,True,нет,5,Тбилиси,1 гр,0.0194,16840,6348,565,230,,,,,,,,,,,,Subotex From France B8 VHQ 1pc
50,16-08-2020 07:45:55,Tbilisi,OX85,amnesia420,2G 🔵🔵 BLUEBERRY (hybrid < indica),True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100,,,,,,,,,,,,2G 🔵🔵 BLUEBERRY (hybrid < indica)
51,16-08-2020 07:45:55,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.021,18304,6900,614,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
52,16-08-2020 07:45:55,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0227,19768,7452,663,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
53,16-08-2020 07:45:55,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20134,7590,676,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
54,16-08-2020 07:45:55,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0202,17572,6624,590,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
55,16-08-2020 07:45:55,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20500,7728,688,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
