,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Varketili,Didube,Дигоми,Gldani,Saburtalo,Авлобари,Центр,€,Батуми,Кутаиси,desc_en
70,20-04-2020 12:58:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.01,554581,205500,18338,7500,True,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,20-04-2020 12:58:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1447,628525,232900,20783,8500,True,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,20-04-2020 12:58:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0245,14789,5480,489,200,True,,,,,,,,,,,,KURYER..500RUB.+BONUS
73,20-04-2020 12:58:47,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0269,14789,5480,489,200,True,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,20-04-2020 12:58:47,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0337,18486,6850,611,250,True,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,20-04-2020 12:58:47,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0269,14789,5480,489,200,True,,,,,,,,,,,,Rabota na marki (kur'er)
76,20-04-2020 12:58:47,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0384,1109162,411000,36675,15000,True,,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,20-04-2020 13:00:21,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0024,1442,536,48,,,,,,,,,,True,18,,,Batumi n-booom 1 shtuka
78,20-04-2020 13:00:21,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,10,нет,Батуми,2 гр,0.0047,2564,953,85,,,,,,,,,,,32,True,,Batumi n-booom 2 shtuki
79,20-04-2020 13:00:21,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,2,нет,Батуми,4 гр,0.0073,4406,1637,146,,,,,,,,,,True,55,,,Batumi n-booom 4 shtuki
80,20-04-2020 13:00:21,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2963,162677,60280,5379,2200,,,,,,,,,,,True,,[100g] SPAIN HASH
81,20-04-2020 13:00:21,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.272,147888,54800,4890,2000,,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
82,20-04-2020 13:00:21,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0122,7394,2740,245,100,,,,,,,,,,,True,,kur'er v Batumi
83,20-04-2020 13:00:21,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0306,18486,6850,611,250,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
84,20-04-2020 13:00:21,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0306,18486,6850,611,250,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
85,20-04-2020 13:00:21,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0384,1109162,411000,36675,15000,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
86,20-04-2020 13:00:21,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0673,36972,13700,1223,500,,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,20-04-2020 13:02:00,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0212,11757,4357,389,159,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,20-04-2020 13:02:00,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0535,29356,10878,971,397,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,20-04-2020 13:02:00,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0388,21296,7891,704,288,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,20-04-2020 13:02:00,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0269,14789,5480,489,200,,,,,,,,,,,,True,Rabota na marki (kur'er)
