,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
49,04-03-2020 09:52:33,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0877,53155,20056,1787,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
50,04-03-2020 09:52:33,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2439,147837,55781,4971,2225,,,,,,,,Amfetamin [White] [Import] 10G
51,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1604,96277,36326,3237,1449,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,24518,9251,824,369,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0331,19867,7496,668,299,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
54,04-03-2020 09:52:33,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0775,46511,17549,1564,700,,,,,,,,20x Extasy Duracell 223mg MDMA.
55,04-03-2020 09:52:33,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0663,39800,15017,1338,599,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,04-03-2020 09:52:33,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0736,46511,17549,1564,700,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
57,04-03-2020 09:52:33,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1196,79732,30084,2681,1200,,,,,,,,50 gr 23% THC Amnesia Haze top quality
58,04-03-2020 09:52:33,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1051,66377,25045,2232,999,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
59,04-03-2020 09:52:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2193,132887,50140,4468,2000,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,04-03-2020 09:52:33,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2215,132887,50140,4468,2000,,,,,,,,SUBOXIN - HQ - 100 G.
