,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
53,53,20-05-2020 03:36:03,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0293,7734,701,20994,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
54,54,20-05-2020 03:36:03,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2251,59341,5375,161072,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
55,55,20-05-2020 03:36:03,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1593,41579,3766,112859,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,20-05-2020 03:36:03,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0377,9841,891,26713,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,20-05-2020 03:36:03,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0322,8401,761,22803,315.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,58,20-05-2020 03:36:03,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5108,133350,12080,361959,5000.0,,,,,,,,,,METADON - 20 G.
59,59,20-05-2020 03:36:03,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0612,15975,1447,43363,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,60,20-05-2020 03:36:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1113,29337,2657,79631,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
61,61,20-05-2020 03:36:03,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2428,64008,5798,173740,2400.0,,,,,,,,,,100 gr marijuana buds
62,62,20-05-2020 03:36:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2023,53340,4832,144784,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,20-05-2020 03:36:03,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2529,66675,6040,180980,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,20-05-2020 03:36:03,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5968,157353,14254,427112,5900.0,,,,,,,,,,180 gr marihuana persoalno
65,65,20-05-2020 03:36:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4653,122682,11113,333002,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,20-05-2020 03:36:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7586,200025,18119,542939,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,20-05-2020 03:36:03,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8597,226695,20535,615330,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,20-05-2020 03:36:03,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,5334,483,14478,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,20-05-2020 03:36:59,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0405,10668,966,28957,400.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
