,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
26,22-07-2020 12:45:36,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0136,9226,3647,310,130,True,,,,,,,,,Badazz Kush 3G VHQ 25% THC
27,22-07-2020 12:45:36,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,6,нет,Тбилиси,3 гр,0.0031,2058,813,69,29,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
28,22-07-2020 12:45:36,Tbilisi,9R7SU,ClownBaroN,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,True,1,нет,Тбилиси,4.2 гр,0.0209,14193,5610,478,200,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
29,22-07-2020 12:45:36,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,5 гр,0.0272,18451,7293,621,260,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
30,22-07-2020 12:45:36,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0293,19871,7854,669,280,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,22-07-2020 12:45:36,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0282,19161,7574,645,270,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
32,22-07-2020 12:45:36,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0185,13839,5470,466,195,,,,,,,,,,5g. marihuana shishki Critical
33,22-07-2020 12:45:36,Tbilisi,9VLN,AlienShop,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,1,нет,Тбилиси,6 гр,0.0317,21290,8415,716,300,True,,,,,,,,,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
34,22-07-2020 12:45:36,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,True,1,нет,Тбилиси,20 гр,0.0551,41161,16269,1385,580,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
35,22-07-2020 12:45:36,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2111,141934,56100,4776,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,22-07-2020 12:46:49,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,True,1,нет,Тбилиси,20 гр,0.0551,41161,16269,1385,580,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
37,22-07-2020 12:46:49,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2111,141934,56100,4776,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,22-07-2020 12:46:49,Tbilisi,2I03,bananaa,CUSTOM Шишки 190g 3in1,True,1,нет,Тбилиси,190 гр,0.4497,305157,120615,10268,4300,,,,,,,,,,CUSTOM Shishki 190g 3in1
39,22-07-2020 12:46:49,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0375,25187,10013,848,,,,310,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
40,22-07-2020 12:46:49,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,True,нет,10,Тбилиси,4 гр,0.0062,4613,1823,155,65,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
41,22-07-2020 12:46:49,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0261,17742,7013,597,250,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
42,22-07-2020 12:46:49,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,2,Тбилиси,5 гр,0.0575,39032,15428,1313,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,22-07-2020 12:46:49,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,1,6,Тбилиси,5 гр,0.0282,19161,7574,645,270,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
44,22-07-2020 12:46:49,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0288,19516,7714,657,275,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,22-07-2020 12:46:49,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0251,17032,6732,573,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,22-07-2020 12:46:49,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0293,19871,7854,669,280,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,22-07-2020 12:46:49,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0282,19161,7574,645,270,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,22-07-2020 12:46:49,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0208,15542,6143,523,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,22-07-2020 12:46:49,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,7,Тбилиси,5 гр,0.0246,16677,6592,561,235,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
50,22-07-2020 12:46:49,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0282,19161,7574,645,270,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,22-07-2020 12:46:49,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2545,190000,87429,6398,,,,,,,,,,,reagent 25i nbome. 5gr
