,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
59,59,28-02-2020 20:42:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0333,20030,7385,668,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,28-02-2020 20:42:54,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.078,46894,17290,1564,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
61,61,28-02-2020 20:42:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0668,40128,14795,1338,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,62,28-02-2020 20:42:54,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0741,46894,17290,1564,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
63,63,28-02-2020 20:42:54,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1204,80389,29640,2681,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
64,64,28-02-2020 20:42:54,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1058,66924,24675,2232,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
65,65,28-02-2020 20:42:54,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.1048,63641,23465,2122,950.0,,,,,,,,,Hybrid Skunk! 50 gr
66,66,28-02-2020 20:42:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2207,133982,49400,4468,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,28-02-2020 20:42:54,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1986,120584,44460,4021,1800.0,,,,,,,,,Hybrid Skunk! 100 gr
68,68,28-02-2020 20:42:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2759,167477,61750,5585,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,28-02-2020 20:42:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5076,308158,113620,10276,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,28-02-2020 20:43:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.02,13398,4940,447,200.0,,,,,,,,,KURYER..500RUB.+BONUS
71,71,28-02-2020 20:43:13,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.02,13398,4940,447,200.0,,,,,,,,,Trebuetsja Kur'er
72,72,28-02-2020 20:43:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.022000000000000002,13398,4940,447,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,28-02-2020 20:43:13,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0275,16748,6175,559,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,28-02-2020 20:43:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6653,1004864,370500,33510,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,28-02-2020 20:44:36,Batumi,d30ed85c42,XTC-MDMA 0.5g purity 93%+,,4,нет,Батуми,0.5 гр,0.0088,5292,1951,176,79.0,,,,,,True,,,XTC-MDMA 0.5g purity 93%+
76,76,28-02-2020 20:44:36,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,8,Батуми,0.27 гр,0.0253,15207,5607,507,227.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
77,77,28-02-2020 20:44:36,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0201,13398,4940,447,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
78,78,28-02-2020 20:44:36,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.105,63641,23465,2122,950.0,,,,,,True,,,Hybrid Skunk! 50 gr
79,79,28-02-2020 20:44:36,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1989,120584,44460,4021,1800.0,,,,,,True,,,Hybrid Skunk! 100 gr
80,80,28-02-2020 20:44:36,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3348,200973,74100,6702,3000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
81,81,28-02-2020 20:44:36,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.27899999999999997,167477,61750,5585,2500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,82,28-02-2020 20:44:36,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0112,6699,2470,223,100.0,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
83,83,28-02-2020 20:44:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3350,1235,112,50.0,,,,,,True,,,kur'er v Batumi
84,84,28-02-2020 20:44:36,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.005,3350,1235,112,50.0,,,,,,True,,,Vakansija Kur'era v Batumi
85,85,28-02-2020 20:44:36,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0075,5000,2301,170,,,,,,,True,,,Vakansija Kur'era v Batumi
86,86,28-02-2020 20:44:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0251,16748,6175,559,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,87,28-02-2020 20:44:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0251,16748,6175,559,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
88,88,28-02-2020 20:44:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6726,1004864,370500,33510,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
89,89,28-02-2020 20:44:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0553,33495,12350,1117,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
90,90,28-02-2020 20:45:53,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1828,165,74.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
91,91,28-02-2020 20:45:53,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0121,7235,2668,241,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
92,92,28-02-2020 20:45:53,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0112,6699,2470,223,100.0,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
