,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
47,47,14-03-2020 06:40:22,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0567,26275,9654,840,359.0,,,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
48,48,14-03-2020 06:40:22,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 2г.,,нет,4,Тбилиси,2 гр,0.0144,6587,2420,211,90.0,True,,True,,,,True,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
49,49,14-03-2020 06:40:22,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0951,43181,15865,1381,590.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
50,50,14-03-2020 06:40:22,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0638,29275,10756,936,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,51,14-03-2020 06:40:22,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0877,40254,14790,1287,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
52,52,14-03-2020 06:40:22,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0249,11417,4195,365,156.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
53,53,14-03-2020 06:40:22,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0317,14564,5351,466,199.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
54,54,14-03-2020 06:40:22,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0255,11710,4302,374,160.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
55,55,14-03-2020 06:40:22,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0317,14564,5351,466,199.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
56,56,14-03-2020 06:40:22,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0317,14564,5351,466,199.0,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
