,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
49,23-06-2020 05:46:14,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0242,16676,6434,570,,True,240,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,23-06-2020 05:46:14,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0282,19455,7507,665,,True,280,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,23-06-2020 05:46:14,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0272,18761,7239,641,,True,270,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,23-06-2020 05:46:14,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.02,15217,5871,520,,True,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,23-06-2020 05:46:14,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,10,Тбилиси,5 гр,0.0176,12160,4692,416,,True,175,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
54,23-06-2020 05:46:14,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0272,18761,7239,641,,True,270,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,23-06-2020 05:46:14,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.151,104225,40215,3562,,True,1500,,,,,,,,,,Gerojn (sirets) 5 gr
56,23-06-2020 05:46:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2502,190000,87429,6498,,True,,,,,,,,,,,reagent 25i nbome. 5gr
57,23-06-2020 05:46:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2745,208451,80430,7124,,,3000,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,23-06-2020 05:46:14,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0975,66635,25711,2277,,True,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,23-06-2020 05:46:14,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0193,13202,5094,451,,True,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,23-06-2020 05:46:14,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0497,33977,13110,1161,,True,489,,,,,,,,,,💘✨5g. MDMA ✨💘
61,23-06-2020 05:46:14,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0906,62535,24129,2137,,True,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,23-06-2020 05:46:14,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0554,38216,14746,1306,,True,550,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,23-06-2020 05:46:14,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0705,48638,18767,1662,,True,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,23-06-2020 05:46:14,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0423,29183,11260,997,,True,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,23-06-2020 05:46:14,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0805,55587,21448,1900,,True,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,23-06-2020 05:46:14,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0332,22930,8847,784,,True,330,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
67,23-06-2020 05:46:14,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2239,154601,59652,5284,,True,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
68,23-06-2020 05:46:14,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,,нет,9,Тбилиси,10 гр,0.0101,6948,2681,237,,True,100,,,,,,,,,,Marki n-boom 10 sht.
69,23-06-2020 05:46:14,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2214,152864,58982,5225,,True,2200,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
70,23-06-2020 05:47:08,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1585,108325,41797,3702,,True,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
71,23-06-2020 05:47:08,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0802,54822,21153,1874,,True,789,,,,,,,,,,💘✨10gram MDMA ✨💘
72,23-06-2020 05:47:08,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0375,25639,9893,876,,True,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,23-06-2020 05:47:08,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,11 гр,0.0443,30353,11759,1038,390,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
74,23-06-2020 05:47:08,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1372,104225,40215,3562,,True,1500,,,,,,,,,,✨💘20g MDMA💘✨
75,23-06-2020 05:47:08,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0609,41621,16059,1423,,True,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,23-06-2020 05:47:08,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1307,90259,34826,3085,,True,1299,,,,,,,,,,50 gr georgian weed. Package on magnet
77,23-06-2020 05:47:08,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2515,173639,66998,5935,,True,2499,,,,,,,,,,100 gr georgian weed. Package on magnet
78,23-06-2020 05:47:08,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2415,166760,64344,5700,,True,2400,,,,,,,,,,100 gr marijuana buds
79,23-06-2020 05:47:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2013,138967,53620,4750,,True,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,23-06-2020 05:47:08,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2516,173709,67025,5937,,True,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,23-06-2020 05:47:08,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5938,409953,158179,14011,,True,5900,,,,,,,,,,180 gr marihuana persoalno
