,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
31,24-07-2020 20:55:51,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,,1,нет,Тбилиси,20 гр,0.0552,41527,16211,1384,,True,580,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
32,24-07-2020 20:55:51,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2114,143195,55900,4771,,True,2000,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,24-07-2020 20:55:51,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.038,25762,10044,856,310,True,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
34,24-07-2020 20:55:51,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,1,Тбилиси,2 гр,0.023,15751,6149,525,,True,220,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
35,24-07-2020 20:56:58,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,1,Тбилиси,2 гр,0.023,15751,6149,525,,True,220,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
36,24-07-2020 20:56:58,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0419,28639,11180,954,,True,400,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,24-07-2020 20:56:58,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0262,17899,6988,596,,True,250,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
38,24-07-2020 20:56:58,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0283,19331,7547,644,,True,270,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,24-07-2020 20:56:58,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0288,19689,7686,656,,True,275,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,24-07-2020 20:56:58,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0251,17183,6708,573,,True,240,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
