,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Дигоми,Gldani,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
71,17-04-2020 00:24:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1496,82183,30140,2696,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,17-04-2020 00:24:57,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3263,179309,65760,5881,2400,,,,,,,,,,,100 gr marijuana buds
73,17-04-2020 00:24:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2719,149424,54800,4901,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,17-04-2020 00:24:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2747,149424,54800,4901,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
75,17-04-2020 00:24:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3399,186780,68500,6127,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,17-04-2020 00:24:57,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8022,440800,161660,14459,5900,,,,,,,,,,,180 gr marihuana persoalno
77,17-04-2020 00:24:57,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4283,235342,86310,7719,3150,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
78,17-04-2020 00:24:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6255,343675,126040,11273,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,17-04-2020 00:24:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0198,560339,205500,18380,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,17-04-2020 00:24:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1557,635051,232900,20830,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,17-04-2020 00:24:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0247,14942,5480,490,200,,,,,,,,,,,KURYER..500RUB.+BONUS
82,17-04-2020 00:24:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0272,14942,5480,490,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,17-04-2020 00:24:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.034,18678,6850,613,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,17-04-2020 00:24:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0581,1120679,411000,36759,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
85,17-04-2020 00:27:07,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,3,нет,Батуми,5 гр,0.0408,22414,8220,735,300,,,,,,,,True,,,Super Critical HIGHEST QUALITY 5G
86,17-04-2020 00:27:07,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2991,164366,60280,5391,2200,,,,,,,,,True,,[100g] SPAIN HASH
87,17-04-2020 00:27:07,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0408,24655,9042,809,330,,,,,,,,True,,,Sk sinij kris ochen' sil'nyj 3gr
88,17-04-2020 00:27:07,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2747,149424,54800,4901,2000,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
89,17-04-2020 00:27:07,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7471,2740,245,100,,,,,,,,,True,,kur'er v Batumi
90,17-04-2020 00:27:07,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0309,18678,6850,613,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,17-04-2020 00:27:07,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0309,18678,6850,613,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
92,17-04-2020 00:27:07,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0581,1120679,411000,36759,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
93,17-04-2020 00:27:07,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.068,37356,13700,1225,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,17-04-2020 00:28:53,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0195,10833,3973,355,145,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
95,17-04-2020 00:28:53,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0491,27270,10001,894,365,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,17-04-2020 00:28:53,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.037,20546,7535,674,275,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,17-04-2020 00:28:53,Kutaisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,нет,10,Кутаиси,10 гр,0.0148,8128,2986,268,,,,,,,100,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
