,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
61,05-07-2020 14:25:05,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0268,17625,6838,605,250,,,,,,,,,,True,,METADON - 0.25 - SALE
62,05-07-2020 14:25:05,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.047,30896,11934,1065,,,,,,,,,,390,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
63,05-07-2020 14:25:05,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0506,33273,12852,1147,,,,,,,,,,420,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
64,05-07-2020 14:25:05,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1702,112990,51992,3882,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
65,05-07-2020 14:25:05,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2695,178900,82321,6147,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
66,05-07-2020 14:25:05,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7050,2735,242,100,,,,,,,,,,True,,kur'er v Batumi
67,05-07-2020 14:25:05,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17625,6838,605,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
68,05-07-2020 14:25:05,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17625,6838,605,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
69,05-07-2020 14:25:05,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14100,5470,484,200,,,,,,,,,,True,,Kur'er Batumi na marihuanu
70,05-07-2020 14:25:05,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6073,1057499,410250,36321,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
71,05-07-2020 14:25:05,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,35250,13675,1211,500,,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
