,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,45,17-02-2020 11:24:58,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0099,6345,2464,220,100.0,True,,,,,,,,,KALI MIST 2G
46,46,17-02-2020 11:24:58,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0181,11422,4435,396,180.0,,,,,,,,,,Ketamine 2 g
47,47,17-02-2020 11:24:58,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.019,12373,4805,429,195.0,,,True,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
48,48,17-02-2020 11:24:58,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,10,нет,Тбилиси,2 гр,0.0199,13960,5421,484,220.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
49,49,17-02-2020 11:24:58,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0083,5394,2094,187,85.0,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
50,50,17-02-2020 11:24:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,5,нет,Тбилиси,2 гр,0.0353,24747,9610,857,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
51,51,17-02-2020 11:24:58,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0362,24049,9339,833,379.0,,,,,,,,,,Kokain HQ 2g.
52,52,17-02-2020 11:24:58,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0347,22145,8599,767,349.0,,,,True,,,,,,Kokain KOLUMBIA 2g
53,53,17-02-2020 11:24:58,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,3 гр,0.0118,8249,3203,286,130.0,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,17-02-2020 11:24:58,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,3 гр,0.0109,6916,2686,240,109.0,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
55,55,17-02-2020 11:24:58,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0099,6980,2710,242,110.0,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
56,56,17-02-2020 11:24:58,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0244,15546,6037,539,245.0,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
57,57,17-02-2020 11:24:58,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0105,6663,2587,231,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
58,58,17-02-2020 11:24:58,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.027999999999999997,19671,7638,682,310.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
59,59,17-02-2020 11:24:58,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.016,10089,3918,350,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
60,60,17-02-2020 11:24:58,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0156,9835,3819,341,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
