,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Nadzaladevi,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Gldani,Vazisubani,Tbilisis Zgva,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
49,49,24-04-2020 19:35:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2614,149433,54700,4937,2000.0,True,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
50,50,24-04-2020 19:35:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3267,186791,68375,6172,2500.0,True,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
51,51,24-04-2020 19:35:45,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7711,440826,161365,14565,5900.0,True,,,,,,,,,,,,,,,,180 gr marihuana persoalno
52,52,24-04-2020 19:35:45,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,1,Тбилиси,200 гр,0.4117,235356,86153,7776,3150.0,True,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
53,53,24-04-2020 19:35:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6012,343695,125810,11356,4600.0,True,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
54,54,24-04-2020 19:35:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9802,560372,205125,18515,7500.0,True,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
55,55,24-04-2020 19:35:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1108,635089,232475,20984,8500.0,True,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,56,24-04-2020 19:35:45,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0238,14943,5470,494,200.0,True,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
57,57,24-04-2020 19:35:45,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0261,14943,5470,494,200.0,True,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
58,58,24-04-2020 19:35:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0327,18679,6838,617,250.0,True,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
59,59,24-04-2020 19:35:45,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0261,14943,5470,494,200.0,True,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
60,60,24-04-2020 19:35:45,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9781,1120745,410250,37031,15000.0,True,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
61,61,24-04-2020 19:37:31,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1445,531,48,,,,,,,,,,,,,18.0,,True,,,Batumi n-booom 1 shtuka
62,62,24-04-2020 19:37:31,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2568,944,85,,,,,,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
63,63,24-04-2020 19:37:31,Batumi,54915c4374,Батуми н-бооом 4 штуки,,3,нет,Батуми,4 гр,0.006999999999999999,4414,1623,147,,,,,,,,,,,,,55.0,,True,True,,Batumi n-booom 4 shtuki
64,64,24-04-2020 19:37:31,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0077,4815,1770,160,,,,,,,,,,,,,60.0,,True,,,Batumi n-booom 5 shtuk
65,65,24-04-2020 19:37:31,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2876,164376,60170,5431,2200.0,,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
66,66,24-04-2020 19:37:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0119,7472,2735,247,100.0,,,,,,,,,,,,,,True,,,kur'er v Batumi
67,67,24-04-2020 19:37:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0297,18679,6838,617,250.0,,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
68,68,24-04-2020 19:37:31,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0297,18679,6838,617,250.0,,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
69,69,24-04-2020 19:37:31,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9789,1120745,410250,37031,15000.0,,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
70,70,24-04-2020 19:37:31,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0654,37358,13675,1234,500.0,,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
71,71,24-04-2020 19:39:30,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0244,14121,5169,467,189.0,,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
72,72,24-04-2020 19:39:30,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0579,33174,12143,1096,444.0,,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
73,73,24-04-2020 19:39:30,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0404,23162,8479,765,310.0,,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
74,74,24-04-2020 19:39:30,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0261,14943,5470,494,200.0,,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
