,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
51,51,10-08-2020 04:30:16,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0235,20250,7662,673,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
52,52,10-08-2020 04:30:16,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0205,17673,6686,588,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,53,10-08-2020 04:30:16,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0239,20619,7801,686,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,54,10-08-2020 04:30:16,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.023,19882,7522,661,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,55,10-08-2020 04:30:16,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.017,16127,6101,536,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,56,10-08-2020 04:30:16,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.023,19882,7522,661,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,57,10-08-2020 04:30:16,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2002,190000,87429,6317,,,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,10-08-2020 04:30:16,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2328,220913,83580,7345,3000.0,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,10-08-2020 04:30:16,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0469,40501,15323,1347,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
60,60,10-08-2020 04:30:16,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0598,51546,19502,1714,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,61,10-08-2020 04:30:16,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0359,30928,11701,1028,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,62,10-08-2020 04:30:16,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0683,58910,22288,1959,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,63,10-08-2020 04:30:16,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,9,Тбилиси,10 гр,0.0012,1031,390,34,14.0,,,,,,,,,,,,GABAGAMA 10 shtuk
64,64,10-08-2020 04:30:16,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0398,33997,12792,1130,,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,65,10-08-2020 04:30:16,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0504,47864,18109,1591,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
66,66,10-08-2020 04:30:16,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.6553,589101,222880,19586,8000.0,,,,,,,,,,,,Sirets moschnyj Iran 50gr
67,67,10-08-2020 04:30:16,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2049,176730,66864,5876,2400.0,,,,,,,,,,,,100 gr marijuana buds
68,68,10-08-2020 04:30:16,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2134,184094,69650,6121,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,10-08-2020 04:30:16,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5036,434462,164374,14444,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
