,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
45,02-06-2020 18:33:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.269,206949,80700,7202,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,02-06-2020 18:33:37,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0955,66155,25797,2302,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,02-06-2020 18:33:37,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0189,13107,5111,456,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,02-06-2020 18:33:37,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0487,33733,13154,1174,489,,,,,,,,,,💘✨5g. MDMA ✨💘
49,02-06-2020 18:33:37,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.0184,12762,4977,444,185,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
50,02-06-2020 18:33:37,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0888,62085,24210,2161,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,02-06-2020 18:33:37,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0395,27593,10760,960,400,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,02-06-2020 18:33:37,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.069,48288,18830,1681,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,02-06-2020 18:33:37,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0414,28973,11298,1008,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,02-06-2020 18:33:37,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0789,55186,21520,1921,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,02-06-2020 18:33:37,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2194,153487,59853,5342,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
56,02-06-2020 18:33:37,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1553,107545,41937,3743,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,02-06-2020 18:33:37,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0368,25455,9926,886,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,02-06-2020 18:33:37,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0313,21730,8474,756,315,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,02-06-2020 18:33:37,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.4981,344916,134500,12004,5000,,,,,,,,,,METADON - 20 G.
60,02-06-2020 18:33:37,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0597,41321,16113,1438,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,02-06-2020 18:33:37,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1281,89609,34943,3119,1299,,,,,,,,,,50 gr georgian weed. Package on magnet
62,02-06-2020 18:33:37,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2465,172389,67223,6000,2499,,,,,,,,,,100 gr georgian weed. Package on magnet
63,02-06-2020 18:33:37,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2367,165559,64560,5762,2400,,,,,,,,,,100 gr marijuana buds
64,02-06-2020 18:33:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1973,137966,53800,4802,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,02-06-2020 18:33:37,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2466,172458,67250,6002,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,02-06-2020 18:33:37,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5819,407000,158710,14165,5900,,,,,,,,,,180 gr marihuana persoalno
67,02-06-2020 18:33:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4537,317322,123740,11044,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,02-06-2020 18:33:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7397,517373,201750,18006,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,02-06-2020 18:34:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8399,586356,228650,20407,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,02-06-2020 18:34:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.018,13797,5380,480,200,,,,,,,,,,KURYER..500RUB.+BONUS
71,02-06-2020 18:34:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0198,13797,5380,480,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,02-06-2020 18:34:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0247,17246,6725,600,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,02-06-2020 18:34:57,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0198,13797,5380,480,200,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
74,02-06-2020 18:34:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4956,1034747,403500,36012,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
75,02-06-2020 18:36:46,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0055,3863,1506,134,56,,,,,,,True,,,Marki n-BoooooooM 4 sht
76,02-06-2020 18:36:46,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2178,151763,59180,5282,2200,,,,,,,,True,,[100g] SPAIN HASH
77,02-06-2020 18:36:46,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,2,Батуми,5 гр,0.0223,15866,6187,552,230,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
