,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
57,57,28-05-2020 02:33:09,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0396,26222,10029,889,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,28-05-2020 02:33:09,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,10,Тбилиси,20 гр,0.0424,28354,10845,961,399.0,,,,,,,,,,20 gr georgian weed. Package on magnet
59,59,28-05-2020 02:33:09,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.537,355318,135900,12045,5000.0,,,,,,,,,,METADON - 20 G.
60,60,28-05-2020 02:33:09,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0643,42567,16281,1443,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,61,28-05-2020 02:33:09,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1381,92311,35307,3129,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
62,62,28-05-2020 02:33:09,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2657,177588,67923,6020,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
63,63,28-05-2020 02:33:09,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2552,170552,65232,5782,2400.0,,,,,,,,,,100 gr marijuana buds
64,64,28-05-2020 02:33:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2127,142127,54360,4818,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,28-05-2020 02:33:09,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2658,177659,67950,6023,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,28-05-2020 02:33:09,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6274,419275,160362,14213,5900.0,,,,,,,,,,180 gr marihuana persoalno
67,67,28-05-2020 02:33:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4891,326892,125028,11081,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,28-05-2020 02:33:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8,532976,203850,18068,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,28-05-2020 02:33:39,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9066,604040,231030,20477,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,28-05-2020 02:33:39,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0194,14213,5436,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
71,71,28-05-2020 02:33:39,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0194,14213,5436,482,200.0,,,,,,,,,,Trebuetsja Kur'er
72,72,28-05-2020 02:33:39,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,14213,5436,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,28-05-2020 02:33:39,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0267,17766,6795,602,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,28-05-2020 02:33:39,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6145,1065953,407700,36135,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,28-05-2020 02:35:18,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.009000000000000001,6040,2310,205,85.0,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
76,76,28-05-2020 02:35:18,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.003,1990,761,67,28.0,,,,,,True,,,,Batumi n-booom 2 shtuki
77,77,28-05-2020 02:35:18,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 2г,,1,нет,Батуми,2 гр,0.0087,6396,2446,217,90.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 2g
78,78,28-05-2020 02:35:18,Batumi,54915c4374,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.006,3980,1522,135,56.0,,,,,,True,,,,Marki n-BoooooooM 4 sht
79,79,28-05-2020 02:35:18,Batumi,54915c4374,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0106,7106,2718,241,100.0,,,,,,True,,,,Marki n-boooom!!! 10 sht.
80,80,28-05-2020 02:35:18,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2341,156340,59796,5300,2200.0,,,,,,,True,,,[100g] SPAIN HASH
81,81,28-05-2020 02:35:18,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0431,28781,11008,976,405.0,,,,,,,True,,,MDMA !! 3 gramma
82,82,28-05-2020 02:35:18,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0438,29847,11416,1012,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
83,83,28-05-2020 02:35:18,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1692,112990,51992,3834,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
84,84,28-05-2020 02:35:18,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2679,178900,82321,6071,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
85,85,28-05-2020 02:35:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7106,2718,241,100.0,,,,,,,True,,,kur'er v Batumi
86,86,28-05-2020 02:35:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,17766,6795,602,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,87,28-05-2020 02:35:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,17766,6795,602,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
88,88,28-05-2020 02:35:18,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0292,19477,7450,661,,,,,,,,True,250.0,,Rabota na marki (kur'er)
89,89,28-05-2020 02:35:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6105,1065953,407700,36135,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,90,28-05-2020 02:35:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,35532,13590,1205,500.0,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,28-05-2020 02:36:41,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0511,34466,13182,1168,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,28-05-2020 02:36:41,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0344,23451,8969,795,330.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
93,93,28-05-2020 02:36:41,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0292,19477,7450,661,,,,,,,,,250.0,True,Rabota na marki (kur'er)
