,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
93,93,26-03-2020 10:58:05,Batumi,f8a875c191,METADON - BATUMI - 0.27 G,,2,5,Батуми,0.27 гр,0.0348,19448,7063,645,250.0,,,,,,,True,,,METADON - BATUMI - 0.27 G
94,94,26-03-2020 10:58:05,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.025,15559,5650,516,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
95,95,26-03-2020 10:58:05,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2782,155586,56500,5158,2000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
96,96,26-03-2020 10:58:05,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2087,116689,42375,3868,1500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,97,26-03-2020 10:58:05,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7779,2825,258,100.0,,,,,,,,True,,kur'er v Batumi
98,98,26-03-2020 10:58:05,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0313,19448,7063,645,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,99,26-03-2020 10:58:05,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0313,19448,7063,645,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
100,100,26-03-2020 10:58:05,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0339,21037,7650,698,,,250.0,,,,,,True,,Rabota na marki (kur'er)
101,101,26-03-2020 10:58:05,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0847,1166892,423750,38684,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
102,102,26-03-2020 10:58:05,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0689,38896,14125,1289,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
