,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,Кутаиси,desc_en
62,29-03-2020 04:54:11,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0441,23320,8550,773,300,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
63,29-03-2020 04:54:11,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.029,15469,5672,513,199,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,29-03-2020 04:54:11,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0265,15547,5700,515,200,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,29-03-2020 04:54:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3235,190000,87429,6293,,True,,,,,,,,,,,reagent 25i nbome. 5gr
66,29-03-2020 04:55:15,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.325,190000,87429,6293,,True,,,,,,,,,,,reagent 25i nbome. 5gr
67,29-03-2020 04:55:15,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3988,233198,85500,7726,3000,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
68,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1284,67550,24767,2238,869,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
69,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0281,14769,5415,489,190,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
70,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0722,38011,13937,1259,489,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
71,29-03-2020 04:55:15,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0279,14691,5387,487,189,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
