,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Авлобари,€,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
57,21-05-2020 02:06:53,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,30382,11298,1012,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,21-05-2020 02:06:53,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0104,7234,2690,241,100,,,,,,,,,,10G Hybrid Marijuana Leafs
59,21-05-2020 02:06:53,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0831,57870,21520,1927,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,21-05-2020 02:06:53,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0301,20978,7801,699,290,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
61,21-05-2020 02:06:53,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2312,160952,59853,5359,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
62,21-05-2020 02:06:53,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1636,112775,41937,3755,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
63,21-05-2020 02:06:53,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,26693,9926,889,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
64,21-05-2020 02:06:53,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0331,22787,8474,759,315,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
65,21-05-2020 02:06:53,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5248,361691,134500,12044,5000,,,,,,,,,,METADON - 20 G.
66,21-05-2020 02:06:53,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0629,43331,16113,1443,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
67,21-05-2020 02:06:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1143,79572,29590,2650,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
68,21-05-2020 02:06:53,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2494,173611,64560,5781,2400,,,,,,,,,,100 gr marijuana buds
69,21-05-2020 02:07:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2078,144676,53800,4817,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,21-05-2020 02:07:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2598,180845,67250,6022,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,21-05-2020 02:07:24,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6131,426795,158710,14211,5900,,,,,,,,,,180 gr marihuana persoalno
72,21-05-2020 02:07:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.478,332755,123740,11080,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,21-05-2020 02:07:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7794,542536,201750,18065,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,21-05-2020 02:07:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8833,614874,228650,20474,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,21-05-2020 02:07:24,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14468,5380,482,200,,,,,,,,,,KURYER..500RUB.+BONUS
76,21-05-2020 02:07:24,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0416,28935,10760,963,400,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
77,21-05-2020 02:07:24,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0208,14468,5380,482,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,21-05-2020 02:07:24,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.026,18085,6725,602,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,21-05-2020 02:07:24,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5729,1085072,403500,36131,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
80,21-05-2020 02:08:34,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,10,нет,Батуми,0.5 гр,0.0062,4340,1614,145,60,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
81,21-05-2020 02:08:34,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,1 гр,0.0108,7596,2825,253,105,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
82,21-05-2020 02:08:34,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.229,159144,59180,5299,2200,,,,,,,True,,,[100g] SPAIN HASH
83,21-05-2020 02:08:34,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0038,2613,972,87,,,,,,33,,True,,,Batumi n-booom 2 shtuki
84,21-05-2020 02:08:34,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1626,112990,51992,3765,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,21-05-2020 02:08:34,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2575,178900,82321,5961,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,21-05-2020 02:08:34,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7234,2690,241,100,,,,,,,True,,,kur'er v Batumi
87,21-05-2020 02:08:34,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,18085,6725,602,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,21-05-2020 02:08:34,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,18085,6725,602,250,,,,,,,True,,,Ischu kur'era v Gruzii!
89,21-05-2020 02:08:34,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5757,1085072,403500,36131,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,21-05-2020 02:08:34,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0521,36169,13450,1204,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,21-05-2020 02:09:39,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.05,35084,13047,1168,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,21-05-2020 02:09:39,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0381,26765,9953,891,370,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,21-05-2020 02:09:39,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0208,14468,5380,482,200,,,,,,,,,True,Rabota na marki (kur'er)
