,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
46,46,02-06-2020 17:57:10,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.0184,12762,4977,444,185.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
47,47,02-06-2020 17:57:10,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0887,62085,24210,2161,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,02-06-2020 17:57:10,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0394,27593,10760,960,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,02-06-2020 17:57:10,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.069,48288,18830,1681,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,02-06-2020 17:57:10,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0414,28973,11298,1008,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,02-06-2020 17:57:10,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0789,55186,21520,1921,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,02-06-2020 17:57:10,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2194,153487,59853,5342,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,02-06-2020 17:57:10,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1553,107545,41937,3743,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,54,02-06-2020 17:57:10,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0368,25455,9926,886,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,02-06-2020 17:57:10,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0313,21730,8474,756,315.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
56,56,02-06-2020 17:57:10,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.498,344916,134500,12004,5000.0,,,,,,,,,,METADON - 20 G.
57,57,02-06-2020 17:57:10,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0597,41321,16113,1438,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,58,02-06-2020 17:57:10,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1281,89609,34943,3119,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
59,59,02-06-2020 17:57:10,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2464,172389,67223,6000,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
60,60,02-06-2020 17:57:10,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2367,165559,64560,5762,2400.0,,,,,,,,,,100 gr marijuana buds
61,61,02-06-2020 17:57:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1972,137966,53800,4802,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,02-06-2020 17:57:10,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2465,172458,67250,6002,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,02-06-2020 17:57:10,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5818,407000,158710,14165,5900.0,,,,,,,,,,180 gr marihuana persoalno
64,64,02-06-2020 17:57:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4536,317322,123740,11044,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,02-06-2020 17:57:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7396,517373,201750,18006,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,02-06-2020 17:57:10,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8382,586356,228650,20407,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,02-06-2020 17:57:10,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0179,13797,5380,480,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,02-06-2020 17:57:10,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0197,13797,5380,480,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,02-06-2020 17:57:46,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0246,17246,6725,600,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
