,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,Vake,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
69,14-03-2020 15:34:29,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0608,27006,9922,864,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,14-03-2020 15:34:29,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0493,21883,8040,700,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
71,14-03-2020 15:34:29,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0988,43840,16107,1402,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
72,14-03-2020 15:34:29,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1096,51232,18823,1638,700,,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
73,14-03-2020 15:34:29,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1781,87826,32268,2808,1200,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
74,14-03-2020 15:34:29,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1565,73115,26863,2338,999,,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
75,14-03-2020 15:34:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3265,146376,53780,4680,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,14-03-2020 15:34:29,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3297,146376,53780,4680,2000,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
77,14-03-2020 15:34:29,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4081,182971,67225,5851,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,14-03-2020 15:34:29,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2473,109782,40335,3510,1500,,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
79,14-03-2020 15:34:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7509,336666,123694,10765,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,14-03-2020 15:34:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2243,548912,201675,17552,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,14-03-2020 15:34:29,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3875,622100,228565,19892,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,14-03-2020 15:34:29,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0297,14638,5378,468,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
83,14-03-2020 15:34:29,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0223,10978,4034,351,150,,,,,,,,,,,,,Rabota na marki (kur'er)
84,14-03-2020 15:34:29,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0326,14638,5378,468,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,14-03-2020 15:34:29,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0408,18297,6723,585,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,14-03-2020 15:34:29,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4708,1097823,403350,35103,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
87,14-03-2020 15:36:20,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.241,109782,40335,3510,1500,,,,,,,,,,True,,,Skunk! 50 gr.
88,14-03-2020 15:36:20,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.0292,14638,5378,468,200,,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
89,14-03-2020 15:36:20,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3245,146376,53780,4680,2000,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
90,14-03-2020 15:36:20,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2434,109782,40335,3510,1500,,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,14-03-2020 15:36:20,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0146,7319,2689,234,100,,,,,,,,,,True,,,kur'er v Batumi
92,14-03-2020 15:36:20,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0365,18297,6723,585,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
93,14-03-2020 15:36:20,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0219,10978,4034,351,150,,,,,,,,,,True,,,Rabota na marki (kur'er)
94,14-03-2020 15:36:20,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0365,18297,6723,585,250,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
95,14-03-2020 15:36:20,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4316,1097823,403350,35103,15000,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
96,14-03-2020 15:36:20,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0803,36594,13445,1170,500,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
97,14-03-2020 15:37:30,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0219,10978,4034,351,150,,,,,,,,,,,,True,Rabota na marki (kur'er)
